fips,n_cont,own_train_size,test_size,county_y_mean,county_y_std,model,model_label,mape,r2,mae,rmse,time
22107,36,308,77,11.513230391308776,1.2803944051793896,zs_regressor,(A) ZS TabPFNRegressor,48.458827125096875,0.6523198217121572,96356.09515372475,162601.28088998728,7.9910569190979
22107,36,308,77,11.513230391308776,1.2803944051793896,zs_ft_pipeline,(B) ZS FT-pipeline,,,,,0.35576319694519043
22107,36,308,77,11.513230391308776,1.2803944051793896,ft_pipeline,(C) FT FT-pipeline,,,,,0.02237987518310547
38069,38,250,64,11.369950701946326,0.9080537514422858,zs_regressor,(A) ZS TabPFNRegressor,53.33217291830433,0.3757353178677265,52736.37088452488,74970.35318053204,1.3565387725830078
38069,38,250,64,11.369950701946326,0.9080537514422858,zs_ft_pipeline,(B) ZS FT-pipeline,,,,,0.008572816848754883
38069,38,250,64,11.369950701946326,0.9080537514422858,ft_pipeline,(C) FT FT-pipeline,,,,,0.007498502731323242
27081,38,352,89,11.356807311965964,0.6634882115555569,zs_regressor,(A) ZS TabPFNRegressor,36.18248547020468,0.4146925739040076,53814.25190810353,78270.13291532507,3.297565221786499
27081,38,352,89,11.356807311965964,0.6634882115555569,zs_ft_pipeline,(B) ZS FT-pipeline,,,,,0.008623361587524414
27081,38,352,89,11.356807311965964,0.6634882115555569,ft_pipeline,(C) FT FT-pipeline,,,,,0.0070841312408447266
38063,38,177,45,11.060603249452912,0.7651574675711738,zs_regressor,(A) ZS TabPFNRegressor,52.492418377565365,0.5186697185584672,33539.07355819708,43115.83643639775,0.9170160293579102
38063,38,177,45,11.060603249452912,0.7651574675711738,zs_ft_pipeline,(B) ZS FT-pipeline,,,,,0.00852060317993164
38063,38,177,45,11.060603249452912,0.7651574675711738,ft_pipeline,(C) FT FT-pipeline,,,,,0.007420539855957031
29041,38,285,72,11.565700514120193,0.9103345558755013,zs_regressor,(A) ZS TabPFNRegressor,47.29889557152639,0.13535841385378022,85873.58244563916,143300.31604155197,2.376412868499756
29041,38,285,72,11.565700514120193,0.9103345558755013,zs_ft_pipeline,(B) ZS FT-pipeline,,,,,0.008897781372070312
29041,38,285,72,11.565700514120193,0.9103345558755013,ft_pipeline,(C) FT FT-pipeline,,,,,0.007658243179321289
27107,40,292,73,11.04158680266924,0.8150572143585788,zs_regressor,(A) ZS TabPFNRegressor,48.71924857784734,0.2697947745617081,48276.327070742474,71059.11343275679,2.4176745414733887
27107,40,292,73,11.04158680266924,0.8150572143585788,zs_ft_pipeline,(B) ZS FT-pipeline,,,,,0.00853872299194336
27107,40,292,73,11.04158680266924,0.8150572143585788,ft_pipeline,(C) FT FT-pipeline,,,,,0.007648468017578125
48131,41,101,26,11.414552772177549,0.7707970595847574,zs_regressor,(A) ZS TabPFNRegressor,56.525806997633076,0.3118216787226362,58644.75488581731,91160.06459012025,1.045849084854126
48131,41,101,26,11.414552772177549,0.7707970595847574,zs_ft_pipeline,(B) ZS FT-pipeline,,,,,0.009005546569824219
48131,41,101,26,11.414552772177549,0.7707970595847574,ft_pipeline,(C) FT FT-pipeline,,,,,0.00799417495727539
48295,41,80,21,11.424566097415035,0.6334417778948541,zs_regressor,(A) ZS TabPFNRegressor,25.19991311681691,0.662352942053499,30573.32606712731,40961.08933452421,1.1155331134796143
48295,41,80,21,11.424566097415035,0.6334417778948541,zs_ft_pipeline,(B) ZS FT-pipeline,,,,,0.007956504821777344
48295,41,80,21,11.424566097415035,0.6334417778948541,ft_pipeline,(C) FT FT-pipeline,,,,,0.007550239562988281
1029,42,216,55,11.458866848257887,1.025314893262091,zs_regressor,(A) ZS TabPFNRegressor,42.91226311703299,0.20081736159966057,70448.54303977273,100925.31794786315,1.862428903579712
1029,42,216,55,11.458866848257887,1.025314893262091,zs_ft_pipeline,(B) ZS FT-pipeline,,,,,0.008748769760131836
1029,42,216,55,11.458866848257887,1.025314893262091,ft_pipeline,(C) FT FT-pipeline,,,,,0.00786280632019043
48399,42,295,74,11.42102176999174,0.6678420475853217,zs_regressor,(A) ZS TabPFNRegressor,36.987577492642956,0.49821664736200777,39371.821395291605,53041.62823769287,2.781529426574707
48399,42,295,74,11.42102176999174,0.6678420475853217,zs_ft_pipeline,(B) ZS FT-pipeline,,,,,0.009280681610107422
48399,42,295,74,11.42102176999174,0.6678420475853217,ft_pipeline,(C) FT FT-pipeline,,,,,0.007769107818603516
1079,42,356,90,11.253384883522996,0.93459155568638,zs_regressor,(A) ZS TabPFNRegressor,48.20980091414006,0.6987160214563681,34964.569891584375,54714.26120413207,3.1157078742980957
1079,42,356,90,11.253384883522996,0.93459155568638,zs_ft_pipeline,(B) ZS FT-pipeline,,,,,0.009613752365112305
1079,42,356,90,11.253384883522996,0.93459155568638,ft_pipeline,(C) FT FT-pipeline,,,,,0.008695840835571289
29063,43,176,45,11.792058265884878,0.5878109047163752,zs_regressor,(A) ZS TabPFNRegressor,42.738470780880085,0.18342942264675655,54744.57814583334,66480.25378665038,1.5452818870544434
29063,43,176,45,11.792058265884878,0.5878109047163752,zs_ft_pipeline,(B) ZS FT-pipeline,,,,,0.008309125900268555
29063,43,176,45,11.792058265884878,0.5878109047163752,ft_pipeline,(C) FT FT-pipeline,,,,,0.007448673248291016
