fips,n_cont,own_train_size,test_size,county_y_mean,county_y_std,model,model_label,mape,r2,mae,rmse,time
22107,36,308,77,11.513230391308776,1.2803944051793896,zs_regressor,(A) ZS TabPFNRegressor,48.458827125096875,0.6523198217121572,96356.09515372475,162601.28088998728,7.343034267425537
22107,36,308,77,11.513230391308776,1.2803944051793896,zs_ft_pipeline,(B) ZS FT-pipeline,49.10666634145159,0.7147413833480046,89928.114025478,147283.25800028068,0.3760721683502197
22107,36,308,77,11.513230391308776,1.2803944051793896,ft_pipeline,(C) FT FT-pipeline,330.22313281152805,-0.07319345183495773,210631.46577821745,285675.504917198,0.2585415840148926
38069,38,250,64,11.369950701946326,0.9080537514422858,zs_regressor,(A) ZS TabPFNRegressor,53.33217291830433,0.3757353178677265,52736.37088452488,74970.35318053204,1.3259060382843018
38069,38,250,64,11.369950701946326,0.9080537514422858,zs_ft_pipeline,(B) ZS FT-pipeline,153.40289834845782,0.08838042328176077,73918.04983227878,90596.62007454813,0.20421504974365234
38069,38,250,64,11.369950701946326,0.9080537514422858,ft_pipeline,(C) FT FT-pipeline,193.66100766569838,-0.10456911958610648,85971.74990552096,99724.44382042122,0.20476365089416504
27081,38,352,89,11.356807311965964,0.6634882115555569,zs_regressor,(A) ZS TabPFNRegressor,36.18248547020468,0.4146925739040076,53814.25190810353,78270.13291532507,3.286731719970703
27081,38,352,89,11.356807311965964,0.6634882115555569,zs_ft_pipeline,(B) ZS FT-pipeline,87.37823394050683,-0.007336952708904887,82965.02903240127,102681.31858636347,0.30196046829223633
27081,38,352,89,11.356807311965964,0.6634882115555569,ft_pipeline,(C) FT FT-pipeline,61.72238999100863,-0.08381532522207125,76287.85961526645,106507.8696326503,0.30111026763916016
38063,38,177,45,11.060603249452912,0.7651574675711738,zs_regressor,(A) ZS TabPFNRegressor,52.492418377565365,0.5186697185584672,33539.07355819708,43115.83643639775,0.902632474899292
38063,38,177,45,11.060603249452912,0.7651574675711738,zs_ft_pipeline,(B) ZS FT-pipeline,57.69611129701373,-0.9268440887450138,64054.196908891536,86265.77151828393,0.1397721767425537
38063,38,177,45,11.060603249452912,0.7651574675711738,ft_pipeline,(C) FT FT-pipeline,90.1766589978364,-0.013134738310250027,52203.44769014152,62553.09846541168,0.1405041217803955
29041,38,285,72,11.565700514120193,0.9103345558755013,zs_regressor,(A) ZS TabPFNRegressor,47.29889557152639,0.13535841385378022,85873.58244563916,143300.31604155197,2.351940393447876
29041,38,285,72,11.565700514120193,0.9103345558755013,zs_ft_pipeline,(B) ZS FT-pipeline,44.09521429148756,0.3892084842139186,77361.9250866982,120441.342098884,0.2337357997894287
29041,38,285,72,11.565700514120193,0.9103345558755013,ft_pipeline,(C) FT FT-pipeline,121.67447867207915,0.17957296223288477,111726.3332225489,139588.3168477987,0.23406052589416504
27107,40,292,73,11.04158680266924,0.8150572143585788,zs_regressor,(A) ZS TabPFNRegressor,48.71924857784734,0.2697947745617081,48276.327070742474,71059.11343275679,2.39436674118042
27107,40,292,73,11.04158680266924,0.8150572143585788,zs_ft_pipeline,(B) ZS FT-pipeline,34.99887956774697,0.5408336036016317,33882.99260477501,56348.50070994034,0.24079203605651855
27107,40,292,73,11.04158680266924,0.8150572143585788,ft_pipeline,(C) FT FT-pipeline,97.73065633674153,0.016604143329743692,60317.22170901302,82463.45061762082,0.24134206771850586
48131,41,101,26,11.414552772177549,0.7707970595847574,zs_regressor,(A) ZS TabPFNRegressor,56.525806997633076,0.3118216787226362,58644.75488581731,91160.06459012025,1.1780860424041748
48131,41,101,26,11.414552772177549,0.7707970595847574,zs_ft_pipeline,(B) ZS FT-pipeline,99.99961465046502,0.041273356368387804,77312.86459134615,107597.33850556787,0.08416295051574707
48131,41,101,26,11.414552772177549,0.7707970595847574,ft_pipeline,(C) FT FT-pipeline,78.2313152630861,-0.21007877373603479,75991.55461538461,120881.80936815706,0.0857386589050293
