fips,n_cont,own_train_size,test_size,county_y_mean,county_y_std,model,model_label,mape,r2,mae,rmse,time
22107,36,308,77,11.513230391308776,1.2803944051793896,zs_regressor,(A) ZS TabPFNRegressor,48.458827125096875,0.6523198217121572,96356.09515372475,162601.28088998728,7.267069101333618
22107,36,308,77,11.513230391308776,1.2803944051793896,zs_ft_pipeline,(B) ZS FT-pipeline,64.09785372619162,0.7880572240821618,75290.96317187588,126953.09869608871,0.45551633834838867
22107,36,308,77,11.513230391308776,1.2803944051793896,ft_pipeline,(C) FT FT-pipeline,281.4918981794329,-0.10100885467559939,203621.53943893174,289353.9414097957,0.2591419219970703
38069,38,250,64,11.369950701946326,0.9080537514422858,zs_regressor,(A) ZS TabPFNRegressor,53.33217291830433,0.3757353178677265,52736.37088452488,74970.35318053204,1.362607717514038
38069,38,250,64,11.369950701946326,0.9080537514422858,zs_ft_pipeline,(B) ZS FT-pipeline,294.52939001876643,-1.2836273588908873,123064.71426098971,143389.64608285797,0.20357775688171387
38069,38,250,64,11.369950701946326,0.9080537514422858,ft_pipeline,(C) FT FT-pipeline,230.37110868829146,-0.3809180414807005,95850.02041333346,111503.66077386182,0.20372915267944336
27081,38,352,89,11.356807311965964,0.6634882115555569,zs_regressor,(A) ZS TabPFNRegressor,36.18248547020468,0.4146925739040076,53814.25190810353,78270.13291532507,3.349144220352173
27081,38,352,89,11.356807311965964,0.6634882115555569,zs_ft_pipeline,(B) ZS FT-pipeline,91.27625283619732,-0.8216222331624341,111167.39841442375,138080.77417297076,0.30242109298706055
27081,38,352,89,11.356807311965964,0.6634882115555569,ft_pipeline,(C) FT FT-pipeline,99.82395705282495,-0.12242640275957806,90238.74997692376,108388.44637105393,0.2982194423675537
38063,38,177,45,11.060603249452912,0.7651574675711738,zs_regressor,(A) ZS TabPFNRegressor,52.492418377565365,0.5186697185584672,33539.07355819708,43115.83643639775,0.8922278881072998
38063,38,177,45,11.060603249452912,0.7651574675711738,zs_ft_pipeline,(B) ZS FT-pipeline,346.80869087602287,-6.938813732265791,161657.58536375265,175102.77526177393,0.13991808891296387
38063,38,177,45,11.060603249452912,0.7651574675711738,ft_pipeline,(C) FT FT-pipeline,244.7339562710206,-2.710520939468588,106267.84855819709,119710.6163035166,0.13904380798339844
29041,38,285,72,11.565700514120193,0.9103345558755013,zs_regressor,(A) ZS TabPFNRegressor,47.29889557152639,0.13535841385378022,85873.58244563916,143300.31604155197,2.33351731300354
