fips,quantile,coverage,error,n_predictions
13101,0.1,0.10760869565217392,0.007608695652173911,920
13101,0.2,0.21739130434782608,0.01739130434782607,920
13101,0.3,0.3032608695652174,0.003260869565217428,920
13101,0.4,0.3978260869565217,0.002173913043478304,920
13101,0.5,0.47934782608695653,0.02065217391304347,920
13101,0.6,0.5836956521739131,0.016304347826086918,920
13101,0.7,0.7097826086956521,0.009782608695652173,920
13101,0.8,0.8228260869565217,0.022826086956521663,920
13101,0.9,0.9108695652173913,0.010869565217391242,920
28163,0.1,0.15294117647058825,0.05294117647058824,170
28163,0.2,0.21764705882352942,0.017647058823529405,170
28163,0.3,0.2647058823529412,0.03529411764705881,170
28163,0.4,0.3176470588235294,0.08235294117647063,170
28163,0.5,0.4117647058823529,0.08823529411764708,170
28163,0.6,0.5117647058823529,0.08823529411764708,170
28163,0.7,0.5941176470588235,0.10588235294117643,170
28163,0.8,0.7294117647058823,0.07058823529411773,170
28163,0.9,0.9058823529411765,0.00588235294117645,170
17069,0.1,0.12363636363636364,0.023636363636363636,550
17069,0.2,0.2109090909090909,0.010909090909090896,550
17069,0.3,0.33090909090909093,0.03090909090909094,550
17069,0.4,0.4618181818181818,0.06181818181818177,550
17069,0.5,0.54,0.040000000000000036,550
17069,0.6,0.6345454545454545,0.034545454545454546,550
17069,0.7,0.6872727272727273,0.012727272727272698,550
17069,0.8,0.7636363636363637,0.036363636363636376,550
17069,0.9,0.850909090909091,0.049090909090909074,550
8061,0.1,0.11830985915492957,0.018309859154929567,710
8061,0.2,0.19436619718309858,0.005633802816901429,710
8061,0.3,0.2563380281690141,0.04366197183098591,710
8061,0.4,0.34788732394366195,0.05211267605633807,710
8061,0.5,0.4788732394366197,0.02112676056338031,710
8061,0.6,0.6197183098591549,0.019718309859154903,710
8061,0.7,0.7112676056338029,0.011267605633802913,710
8061,0.8,0.7929577464788733,0.007042253521126751,710
8061,0.9,0.8971830985915493,0.0028169014084507005,710
2275,0.1,0.14666666666666667,0.04666666666666666,150
2275,0.2,0.30666666666666664,0.10666666666666663,150
2275,0.3,0.4,0.10000000000000003,150
2275,0.4,0.4066666666666667,0.006666666666666654,150
2275,0.5,0.41333333333333333,0.08666666666666667,150
2275,0.6,0.52,0.07999999999999996,150
2275,0.7,0.6733333333333333,0.026666666666666616,150
2275,0.8,0.7666666666666667,0.033333333333333326,150
2275,0.9,0.8666666666666667,0.033333333333333326,150
2232,0.1,0.15476190476190477,0.05476190476190476,420
2232,0.2,0.20714285714285716,0.007142857142857145,420
2232,0.3,0.29523809523809524,0.004761904761904745,420
2232,0.4,0.36904761904761907,0.030952380952380953,420
2232,0.5,0.44761904761904764,0.05238095238095236,420
2232,0.6,0.5404761904761904,0.059523809523809534,420
2232,0.7,0.7047619047619048,0.004761904761904856,420
2232,0.8,0.7642857142857142,0.03571428571428581,420
2232,0.9,0.9142857142857143,0.014285714285714235,420
25007,0.1,0.10961538461538461,0.009615384615384609,520
25007,0.2,0.2,0.0,520
25007,0.3,0.325,0.025000000000000022,520
25007,0.4,0.425,0.024999999999999967,520
25007,0.5,0.5384615384615384,0.038461538461538436,520
25007,0.6,0.6038461538461538,0.0038461538461538325,520
25007,0.7,0.676923076923077,0.023076923076922995,520
25007,0.8,0.7865384615384615,0.013461538461538525,520
25007,0.9,0.8673076923076923,0.03269230769230769,520
13307,0.1,0.10705882352941176,0.007058823529411756,850
13307,0.2,0.16705882352941176,0.03294117647058825,850
13307,0.3,0.32235294117647056,0.022352941176470575,850
13307,0.4,0.41058823529411764,0.01058823529411762,850
13307,0.5,0.5,0.0,850
13307,0.6,0.6317647058823529,0.03176470588235292,850
13307,0.7,0.7352941176470589,0.03529411764705892,850
13307,0.8,0.8258823529411765,0.025882352941176467,850
13307,0.9,0.9023529411764706,0.0023529411764705577,850
28111,0.1,0.13114754098360656,0.03114754098360656,610
28111,0.2,0.1901639344262295,0.009836065573770508,610
28111,0.3,0.2836065573770492,0.016393442622950782,610
28111,0.4,0.36885245901639346,0.03114754098360656,610
28111,0.5,0.460655737704918,0.03934426229508198,610
28111,0.6,0.5688524590163935,0.031147540983606503,610
28111,0.7,0.6901639344262295,0.00983606557377048,610
28111,0.8,0.780327868852459,0.019672131147541072,610
28111,0.9,0.8672131147540983,0.032786885245901676,610
21237,0.1,0.09692307692307692,0.003076923076923088,650
21237,0.2,0.19076923076923077,0.009230769230769237,650
21237,0.3,0.2876923076923077,0.012307692307692297,650
