fips,size_bucket,county_train_pool_size,county_test_size,requested_train_size,actual_train_size,seed,model,n_features,fit_time,pred_time,r2,mae,rmse,mape,mse,status,experiment_name,experiment_description
13101,tiny,45,46,5,5,42,tabpfn,107,105.23704695701599,16.196563005447388,0.046366227249392655,35489.870305184115,47224.294800798016,25.701346865111436,2230134019.432678,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
13101,tiny,45,46,5,5,42,xgboost,107,23.50962257385254,0.006304264068603516,-0.20875948812544132,42349.98222773846,53167.3014397096,30.346253971550862,2826761942.3809466,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
13101,tiny,45,46,10,10,42,tabpfn,107,0.5341019630432129,0.22600460052490234,0.07799907073464796,49432.36960346738,59526.84717075301,47.25766068929133,3543445534.090186,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
13101,tiny,45,46,10,10,42,xgboost,107,11.67871642112732,0.006221294403076172,-0.0947695171969849,55457.31695401084,64864.72028696065,55.74334236091643,4207431937.9056444,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
13101,tiny,45,46,20,20,42,tabpfn,107,0.5543770790100098,0.22228074073791504,-0.24039947423023822,53103.8063377319,71258.00756644094,42.5391057935574,5077703642.338955,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
13101,tiny,45,46,20,20,42,xgboost,107,7.659882307052612,0.006360530853271484,-0.36433002857985275,59444.726960184336,74733.03282152745,51.52603916952321,5585026194.703499,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
13101,tiny,45,46,30,30,42,tabpfn,107,0.5500738620758057,0.23031234741210938,-0.20792309463974679,51673.44754387671,70201.71161444108,39.847316105649995,4928280313.597152,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
13101,tiny,45,46,30,30,42,xgboost,107,13.929587602615356,0.006348133087158203,-0.28907576235332955,53723.29806612535,72521.58377543598,41.09041227170748,5259380113.297579,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
13101,tiny,45,46,40,40,42,tabpfn,107,0.5512700080871582,0.21219515800476074,-0.1598813661402141,50087.06170065815,68677.0105674978,39.20004899622489,4716531780.488205,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
13101,tiny,45,46,40,40,42,xgboost,107,12.929990768432617,0.0061914920806884766,-0.18728434257171211,52422.558877118754,69483.5449020657,43.188648794460796,4827963012.15738,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
