model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,fips,bin_name,repetition,fold,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,13,4,21,28.16514015197754,6.966794013977051,-0.07746264034783468,87789.408203125,120938.90960040299,14626219855.334446,1041,small,0,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,13,4,21,5.109896659851074,0.0021820068359375,-0.6132202574213961,119138.51367187497,147982.98108002258,21898962689.330322,1041,small,0,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.018969799084480363,300.0,0.8594304815235422,0.7859343693723652,3.0,0.015935725270861092,0.10720700689319473,0.037900444889041984,4.697979688644409
tabpfn,13,4,21,0.302426815032959,0.21447253227233887,0.35234920746665666,59082.47265624999,65089.552603913646,4236649858.177642,1041,small,0,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,13,4,21,6.399056434631348,0.0022008419036865234,-0.5403658707143735,88912.12109375,100381.29162603966,10076403708.51202,1041,small,0,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.1601531217136121,400.0,0.9187021504122962,0.9313811040057838,3.0,0.05211124595788264,0.17050539260269293,0.9683377710407788,6.354414701461792
tabpfn,14,3,21,0.3110790252685547,0.2152388095855713,-1.2091755409117537,144347.6041666666,181747.45560166522,33032137617.679276,1041,small,0,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,6.144645929336548,0.0021843910217285156,-1.1573659583830849,139450.09895833326,179603.64127715674,32257467960.0136,1041,small,0,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.058903590049795625,350.0,0.8609266774516652,0.9121301857380631,3.0,0.05577774516689375,1.7404273415308644,0.012331540197585226,6.101252794265747
tabpfn,14,3,21,0.29744386672973633,0.2160966396331787,0.016526284015161985,32357.44791666663,44259.788103183164,1958928842.9386742,1041,small,0,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,5.867422580718994,0.0022127628326416016,-0.32815992126867344,44095.98697916663,51434.335924353705,2645490911.9792624,1041,small,0,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.055808692324215654,500.0,0.9163128012548506,0.8406115656663526,4.0,0.031249880087722583,1.0458745564266858,0.09272478800464601,5.8127946853637695
tabpfn,14,3,21,0.30751681327819824,0.21640563011169434,0.3797405969722427,37132.93489583331,44174.538342129286,1951389837.7402506,1041,small,0,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,5.691973447799683,0.0021576881408691406,0.34799981393089674,36484.15624999997,45290.717504320775,2051249092.0561886,1041,small,0,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.1011637773461639,200.0,0.8104730669463179,0.8566650535760303,3.0,0.860937904350433,7.258832835566407,0.050946831801546875,5.662436485290527
tabpfn,13,4,21,0.3034029006958008,0.21944499015808105,-1.419903267757653,128210.22656249991,155045.11339770007,24038987188.505676,1041,small,1,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,13,4,21,4.998047590255737,0.0021517276763916016,-1.6040393268844273,131912.7548828124,160835.8465854346,25868169546.85346,1041,small,1,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.035608321453766544,250.0,0.7039056754513842,0.7456134258268532,5.0,0.039227960734241236,0.24755825659916134,0.07903402261074027,4.9643919467926025
tabpfn,13,4,21,0.2998192310333252,0.21561193466186523,-1.26830580909381,104082.98046874997,148793.38004534272,22139469945.317795,1041,small,1,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,13,4,21,6.128736972808838,0.0023865699768066406,-1.7996451333266208,133191.75146484372,165304.35679464147,27325530375.290127,1041,small,1,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.22927308346441894,400.0,0.7414010862352497,0.9626713759305563,3.0,0.06173833288938735,0.24172664916722686,0.028264324542394352,6.082805156707764
tabpfn,14,3,21,0.296781063079834,0.21395134925842285,0.09767572001357006,19359.804687500007,23570.512931370646,555569079.8479109,1041,small,1,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,5.125216484069824,0.002188444137573242,0.10235456950951183,21942.611328125015,23509.32305753371,552688270.6234863,1041,small,1,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.2513509543842319,50.0,0.7037325415370201,0.9769211302017734,4.0,0.06283181421217295,1.3227015201177539,0.010303349319029773,5.1094069480896
tabpfn,14,3,21,0.3036937713623047,0.21381449699401855,-1.8897965705355686,34266.35807291671,48214.74125784225,2324661274.560676,1041,small,1,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,6.490917921066284,0.0021550655364990234,-11.15017146338716,85569.58854166667,98863.82478748697,9774055851.610922,1041,small,1,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.2681915604147053,350.0,0.9421963316338479,0.7322999407780716,3.0,0.16790322845474118,0.10245201385183245,0.03165033877066457,6.4509100914001465
tabpfn,14,3,21,0.2972269058227539,0.21517682075500488,0.19405290484851956,48042.61458333329,52104.99706054301,2714930718.679196,1041,small,1,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,5.802921533584595,0.0021839141845703125,0.48618725180324274,40939.9973958333,41603.37335399403,1730840674.4318206,1041,small,1,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.06337307064038722,350.0,0.8092462998023465,0.9864892610522765,4.0,0.015466492009204465,1.1590954297020726,0.4202136482844292,5.762091398239136
tabpfn,13,4,21,0.2987689971923828,0.21857404708862305,-0.7655212475541877,33134.607421875,41529.27938048396,1724681045.8622904,1041,small,2,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,13,4,21,6.456485033035278,0.002201080322265625,0.10881733806053362,27504.572265625004,29505.38496145231,870567741.7234962,1041,small,2,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.0848888569412709,450.0,0.95922300061153,0.9263493855431508,3.0,0.4539076428606327,0.23110586164729896,0.24807272117997772,6.407532453536987
tabpfn,13,4,21,0.30533766746520996,0.21581506729125977,0.5099805451160444,23327.070312499978,32266.274723422455,1041112484.5273709,1041,small,2,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,13,4,21,6.7031097412109375,0.002172708511352539,-0.5834486227440405,48472.06591796872,58002.15827522091,3364250364.5837774,1041,small,2,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.2536999076681772,400.0,0.8795975452591109,0.7468055921327309,4.0,0.01306673923805328,5.3994844097874335,0.24164826029897515,6.658262729644775
tabpfn,14,3,21,0.3089785575866699,0.21376848220825195,-0.1819224812432454,57310.66927083332,64392.39901790826,4146381051.281513,1041,small,2,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,5.234602689743042,0.0021820068359375,-0.6551590836325687,66908.87239583333,76200.87876941003,5806573925.230325,1041,small,2,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.011688708490839582,350.0,0.9273390349990271,0.8584303711798195,4.0,0.022198668142026836,0.27499837265935045,0.2648301178367077,5.190077066421509
tabpfn,14,3,21,0.29892730712890625,0.2165069580078125,0.14880960323385306,84078.39322916658,85077.03929393725,7238102615.022143,1041,small,2,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,4.213083028793335,0.002141237258911133,-0.3054110206937213,104996.18489583326,105359.24448931946,11100570399.360193,1041,small,2,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.04461183294634994,100.0,0.845128452871735,0.7012564703562331,3.0,0.16176041164969937,4.262402727044872,0.5994539647266881,4.1931822299957275
tabpfn,14,3,21,0.3069930076599121,0.21350765228271484,-1.1105996027992,174053.1002604166,207578.61288641533,43088880527.848274,1041,small,2,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,6.055833339691162,0.0021865367889404297,-0.9719304594518392,168889.87630208326,200643.67656617382,40257884945.99136,1041,small,2,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.1601531217136121,400.0,0.9187021504122962,0.9313811040057838,3.0,0.05211124595788264,0.17050539260269293,0.9683377710407788,6.011749505996704
tabpfn,13,4,21,0.29831647872924805,0.21400165557861328,-0.024181010854352314,56693.81347656243,78054.64122003542,6092527015.988454,1041,small,3,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,13,4,21,5.170409202575684,0.0021524429321289062,0.18425640991222225,54722.83496093744,69660.59940168895,4852599109.002585,1041,small,3,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.03264256263250765,200.0,0.8488514040047636,0.8523489622832585,3.0,0.0503981416854737,5.596021504020803,0.039649884702433455,5.137578964233398
tabpfn,13,4,21,0.30571985244750977,0.21948647499084473,-0.14640887427332872,26242.078124999993,28629.648120913283,819656751.5273135,1041,small,3,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,13,4,21,6.225734710693359,0.0021719932556152344,-0.9935625863842676,32876.87011718749,37753.84408215954,1425352742.9800131,1041,small,3,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.020718765476504947,350.0,0.8119058415945943,0.7157201959032005,3.0,0.05352010070383586,0.46742644501417324,0.6398313561852323,6.184355020523071
tabpfn,14,3,21,0.3089878559112549,0.21549749374389648,-0.6507712808545807,109667.40104166658,145971.77318780063,21307758567.590714,1041,small,3,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,5.234116077423096,0.0021584033966064453,-0.40996832091592195,95798.08984374993,134905.64069236346,18199531890.61707,1041,small,3,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.0336259338899587,350.0,0.8295276791810954,0.7832988402101456,5.0,0.11457688450445638,1.3562189996726048,0.01002019414150319,5.189908266067505
tabpfn,14,3,21,0.3005392551422119,0.22079968452453613,-0.5905127763654909,131733.36328124997,179218.19725374147,32119162226.880985,1041,small,3,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,5.192657709121704,0.002155303955078125,-0.2076727533268825,117578.5911458333,156166.60086193122,24388007224.769733,1041,small,3,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.2575386514618915,250.0,0.8587313647018544,0.9732163421028681,3.0,0.08018259320154084,1.7404273415308644,0.11930470933583012,5.160542011260986
tabpfn,14,3,21,0.3035156726837158,0.2144153118133545,0.10030713120727874,68650.54427083333,70626.46243679113,4988097196.335468,1041,small,3,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,6.527414798736572,0.0021905899047851562,0.12475636954695224,63968.63541666666,69660.21235839181,4852545185.816243,1041,small,3,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.017591622192692034,450.0,0.7589782107983117,0.8910531392002703,3.0,0.2783486681688595,0.3055909734214386,0.18837285438443574,6.474583148956299
tabpfn,13,4,21,0.30273938179016113,0.21493172645568848,-0.689577882214627,131645.13281249994,184049.40159282647,33874182226.677517,1041,small,4,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,13,4,21,5.821423530578613,0.002198934555053711,-0.6422776965774089,134064.85058593744,181454.85779279933,32925865416.60503,1041,small,4,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.0329884167891951,400.0,0.7016122768269666,0.7275202795951006,3.0,0.012376493922253361,0.2568429260352251,0.06633723127678869,5.774357557296753
tabpfn,13,4,21,0.3029482364654541,0.2140967845916748,0.42766622252592956,33528.791015625,44721.91892431287,2000050032.2728138,1041,small,4,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,13,4,21,6.452324867248535,0.002187490463256836,-2.9600851633289196,83919.583984375,117638.1006972842,13838722735.66438,1041,small,4,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.05416190872447388,450.0,0.8248094400752193,0.8003008261552386,4.0,0.025376452031221863,2.389525370602791,0.06858187140623052,6.401417016983032
tabpfn,14,3,21,0.2919445037841797,0.2155475616455078,0.09182512370361695,53367.21874999996,54358.10398357587,2954803468.6892467,1041,small,4,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,5.583379030227661,0.002159595489501953,-0.23712826355195582,62983.81770833329,63443.4691858509,4025073782.3360133,1041,small,4,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.19254632069346533,250.0,0.9066263655481784,0.7975422273567222,4.0,0.6354989323433307,0.23685592779284356,0.6997517204585185,5.551595211029053
tabpfn,14,3,21,0.29128289222717285,0.2146914005279541,0.026176678542733756,50385.74479166665,54947.02935744687,3019176035.208128,1041,small,4,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,6.199528455734253,0.002179861068725586,-0.08393347294084808,56874.62499999998,57970.28643989838,3360554109.9238663,1041,small,4,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.01408079263270929,400.0,0.8003240464030257,0.7610780538300608,3.0,0.315889384217744,0.16848506864292115,0.11049222062757147,6.1499316692352295
tabpfn,14,3,21,0.30147242546081543,0.21423888206481934,0.14880960323385306,84078.39322916658,85077.03929393725,7238102615.022143,1041,small,4,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,4.210509300231934,0.002137422561645508,-0.3054110206937213,104996.18489583326,105359.24448931946,11100570399.360193,1041,small,4,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.04461183294634994,100.0,0.845128452871735,0.7012564703562331,3.0,0.16176041164969937,4.262402727044872,0.5994539647266881,4.190553426742554
tabpfn,13,4,21,0.29883623123168945,0.216292142868042,0.2989451610264472,47732.185546874956,71249.71254350769,5076521537.532476,1041,small,5,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,13,4,21,5.863589286804199,0.0021562576293945312,-0.6740650284361247,95586.32519531246,110101.51194180884,12122342931.872276,1041,small,5,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.056080370427056554,250.0,0.7775149246000129,0.9321977489163971,3.0,0.17534596596928625,0.21444429715525518,0.17325318905960144,5.830581426620483
tabpfn,13,4,21,0.3021523952484131,0.21486496925354004,-0.28823855670143916,85492.87988281244,129538.59312414509,16780247108.58281,1041,small,5,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,13,4,21,6.1580305099487305,0.002178668975830078,-0.64835991074774,100793.89843749994,146530.1692212447,21471090492.006607,1041,small,5,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.12377853003394225,350.0,0.7104866033572276,0.9203436485235792,3.0,0.12895056475081923,0.20681625617842095,1.0377199401536017,6.117877721786499
tabpfn,14,3,21,0.30623745918273926,0.21505308151245117,0.4097509519780098,47733.07812500003,54904.46487390296,3014500263.089644,1041,small,5,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,5.80901837348938,0.0022025108337402344,-0.6057433611238572,79725.57421875003,90558.2628430618,8200798969.153068,1041,small,5,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.2991067360700442,500.0,0.868939262256791,0.9510458826980029,3.0,0.1430954067861806,0.27717803434065336,0.3285640414955121,5.756525993347168
tabpfn,14,3,21,0.3036181926727295,0.21928763389587402,-2.969377769032393,110814.26171874994,111613.18923483341,12457504011.17073,1041,small,5,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,6.696608066558838,0.002177715301513672,-6.639461918238279,146884.62630208328,154840.89983199214,23975704260.78102,1041,small,5,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.04428086368006381,450.0,0.705235342561593,0.8981797737485375,4.0,0.09802627882646622,0.7176444838337811,0.010723233615838115,6.638861894607544
tabpfn,14,3,21,0.29990172386169434,0.2191159725189209,-0.5915937760781746,138786.18880208328,181559.16820295766,32963731558.54987,1041,small,5,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,14,3,21,4.854843616485596,0.0021636486053466797,-0.44281292850384446,121942.13867187496,172865.0041410227,29882309656.675797,1041,small,5,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.033953489073402315,250.0,0.7709685603411567,0.873780787849364,3.0,0.033548065318652676,0.3526659783666113,0.032959006317982834,4.8202104568481445
tabpfn,13,4,21,0.3015596866607666,0.2149198055267334,-0.7915461978397655,129790.09179687497,167205.8290032304,27957789252.657528,1041,small,6,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
