model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,fips,bin_name,repetition,fold,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,59,15,42,28.287503480911255,6.828610420227051,0.5860026311036857,40662.46041666668,73281.08266216466,5370117076.139009,1065,small,0,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,59,15,42,8.17783522605896,0.0036559104919433594,0.6796205348913071,43942.57578125003,64465.213078603076,4155763697.2696967,1065,small,0,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.03253382349217121,200.0,0.7571039815532956,0.74265408804449,3.0,0.337467514288527,0.2906341664650563,0.09457746819106244,7.762529373168945
tabpfn,59,15,42,0.45250678062438965,0.23121356964111328,0.359405009601537,72986.86822916669,91640.3256436226,8397949284.069193,1065,small,0,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,59,15,42,7.995850563049316,0.003627777099609375,0.4190027320168781,70509.05234375,87273.40086591568,7616646498.702813,1065,small,0,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.044426108927127665,250.0,0.7189683134190599,0.9983487984973112,4.0,0.015928090725550913,0.22742094664724538,0.4321792035155651,7.943320989608765
tabpfn,59,15,42,0.4409506320953369,0.22524809837341309,0.044214879821451,62249.97109375,93085.29013759294,8664871239.999857,1065,small,0,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,59,15,42,8.46765923500061,0.0036535263061523438,0.16960392188406848,63456.81901041668,86764.79977218305,7528130479.507015,1065,small,0,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.2536999076681772,400.0,0.8795975452591109,0.7468055921327309,4.0,0.01306673923805328,5.3994844097874335,0.24164826029897515,8.401554107666016
tabpfn,59,15,42,0.45554137229919434,0.22459983825683594,0.26796069273151335,67546.27447916669,104103.1448431082,10837464766.225164,1065,small,0,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,59,15,42,9.538064002990723,0.0036652088165283203,0.19382235548902582,73388.32864583335,109247.62995079394,11935044649.865608,1065,small,0,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.057912777793088364,350.0,0.9302786626075823,0.774715709803767,3.0,0.015330238668045915,0.47250187254240117,0.04876958993950962,9.474387168884277
tabpfn,60,14,42,0.45630621910095215,0.22292017936706543,0.800449891570829,31900.993024553532,41411.25594250757,1714892118.735868,1065,small,0,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,60,14,42,8.55053162574768,0.003688335418701172,0.7633259454831117,34170.998325892855,45099.08633653059,2033927588.3898406,1065,small,0,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.011906021065751681,450.0,0.757115673498339,0.7432833088019791,10.0,0.020435390188346274,7.459088146109301,0.02442304986373949,8.4662184715271
tabpfn,59,15,42,0.42449188232421875,0.2253272533416748,0.08759564382589058,82733.51822916666,112667.49990747095,12693965535.399967,1065,small,1,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,59,15,42,8.193557500839233,0.0036640167236328125,0.15951792370878615,79528.78515624999,108135.72853700642,11693335786.229143,1065,small,1,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.11847855523266489,200.0,0.9264003513536816,0.7135396057373893,3.0,0.05680603640397799,5.6706323933162786,0.09902498120622392,8.149975538253784
tabpfn,59,15,42,0.4468245506286621,0.22551512718200684,0.4324496364677586,67362.39401041668,80479.36744723182,6476928584.706556,1065,small,1,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,59,15,42,7.7415502071380615,0.0036580562591552734,0.7301394884130292,47648.380729166696,55494.76553276714,3079669001.5368,1065,small,1,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.20187806732998873,500.0,0.726380146597763,0.98782941068498,9.0,0.9880324463918705,0.10254562839234946,0.7323078125269404,7.664552688598633
tabpfn,59,15,42,0.4430878162384033,0.22528648376464844,0.06813145614460492,52505.36223958335,70461.01269378162,4964754309.833256,1065,small,1,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,59,15,42,7.931797027587891,0.0036334991455078125,0.009726279476695687,60409.75885416665,72635.54204432426,5275921968.072798,1065,small,1,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.019943111848706466,200.0,0.8152345832410011,0.8543795335867623,10.0,0.4114512181207026,0.9322113392032406,0.05773353243877265,7.884155988693237
tabpfn,59,15,42,0.43874263763427734,0.2308652400970459,0.3004967249981424,63640.18411458335,96242.020529977,9262526515.692514,1065,small,1,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,59,15,42,8.111090183258057,0.0035920143127441406,0.23966728504268653,67970.77812500001,100339.44504547729,10068004232.034357,1065,small,1,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.19729846751278463,100.0,0.8595619204039593,0.7705123701424827,3.0,0.01382011093200205,9.198311785118328,0.8247994029212696,8.080279111862183
