model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mape,mse,test_set_version,train_set_version,n_test_counties,n_train_source_test_history,n_train_source_external,status,experiment_name,experiment_description,result_type,test_fips,size_bucket,county_test_size,county_train_pool_size,county_train_used
xgboost,,,,,,-1.7561198586837188,141599.35546875,156060.61252390055,554.5667129122136,24354914781.335026,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,49025.0,tiny,4.0,3.0,3.0
xgboost,,,,,,0.3744489200804488,82586.1324404762,140176.92255425933,67.834408380496,19649569616.782818,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,31165.0,tiny,21.0,21.0,21.0
xgboost,,,,,,-0.9543344016798208,59941.51718749998,64172.28973710909,81.86833862465778,4118082770.103476,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28139.0,tiny,5.0,5.0,5.0
xgboost,,,,,,0.5558691652759228,55673.06878125,70344.09731775893,57.8500375112476,4948292027.45034,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48263.0,tiny,10.0,10.0,10.0
xgboost,,,,,,0.5798392701101678,47335.67795138886,53368.74224886999,74.14704677846015,2848222649.2263203,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,30069.0,tiny,9.0,4.0,4.0
xgboost,,,,,,0.1864268726757798,48434.69531249994,50677.29679545833,168.712498888293,2568188410.494971,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,29065.0,tiny,3.0,2.0,2.0
xgboost,,,,,,0.5458663754996608,76133.77343750006,109956.3947940054,25.658888554882058,12090408756.09518,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,2275.0,tiny,8.0,8.0,8.0
xgboost,,,,,,,72936.125,72936.125,10.805351851851853,5319678330.015625,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,9001.0,tiny,1.0,1.0,1.0
xgboost,,,,,,0.5262511175316038,44762.35253906252,51264.31783938379,50.480354047708765,2628030283.5373626,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,35025.0,tiny,16.0,14.0,14.0
xgboost,,,,,,0.3534832832997131,42428.293423150506,57278.99766525476,57.07351927704993,3280883573.53626,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48507.0,tiny,49.0,48.0,48.0
xgboost,,,,,,0.3454264690986847,69955.67100694445,80777.06615623618,90.10277326008595,6524934416.808955,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28005.0,tiny,9.0,8.0,8.0
xgboost,,,,,,0.5520539327219841,58024.94963727678,88884.16888082467,81.80235852689401,7900395477.634959,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,31183.0,tiny,42.0,42.0,42.0
xgboost,,,,,,-3.0312504632241097,41546.287016369046,53789.826773025685,192.58471510687895,2893345464.2721105,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,21189.0,tiny,21.0,20.0,20.0
xgboost,,,,,,-2.8953153382791603,52668.74821428571,64395.10461472633,212.64101989661532,4146729498.341549,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28117.0,tiny,35.0,35.0,35.0
xgboost,,,,,,-0.4811070986984807,40958.58203125003,42764.43604349242,93.90942660500474,1828796990.1179533,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,31005.0,tiny,4.0,4.0,4.0
xgboost,,,,,,0.1201659837478013,37472.87865114798,45971.698861108845,78.5785538369116,2113397096.176476,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48047.0,tiny,49.0,49.0,49.0
xgboost,,,,,,-5.295790018824006,42159.67578125,55228.40708207543,117.62860110557139,3050176948.823439,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28053.0,tiny,9.0,8.0,8.0
xgboost,,,,,,0.3243234316628555,26789.21166992188,40953.47969018058,44.16946823017179,1677187498.7340336,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,31113.0,tiny,32.0,31.0,31.0
xgboost,,,,,,0.1928621721922521,92808.0901761968,120319.0021892018,157.34667138682477,14476662287.805143,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,38065.0,tiny,47.0,46.0,46.0
xgboost,,,,,,0.6820730102707444,46359.537499999926,55139.81210179564,23.081357223299577,3040398878.621329,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,2185.0,tiny,10.0,9.0,9.0
xgboost,,,,,,0.6931986232813013,20454.018750000047,23839.439385894064,59.192878650877766,568318870.2337172,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28069.0,tiny,5.0,4.0,4.0
xgboost,,,,,,0.0097117300280603,47955.09059495192,59674.74616356936,120.87571275249809,3561075329.686436,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,54071.0,tiny,26.0,26.0,26.0
xgboost,,,,,,0.1121224250931666,146418.9370928031,337347.808446954,29.954528407488805,113803543863.96275,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,35019.0,tiny,33.0,32.0,32.0
xgboost,,,,,,0.7337139869548065,29600.03515625011,38327.75390746575,18.11114470579248,1469016719.591256,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28039.0,tiny,4.0,3.0,3.0
xgboost,,,,,,0.2286818103237975,22928.86061789772,32251.10784632504,96.90711471788023,1040133957.3152884,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,29149.0,tiny,11.0,10.0,10.0
xgboost,,,,,,-0.0452672125721942,70491.64279605263,104924.06228110925,36.44581219446925,11009058845.57009,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48105.0,tiny,38.0,37.0,37.0
xgboost,,,,,,0.5714626989824743,68430.96161764706,81261.24922307981,16.160388989234743,6603390625.295489,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,2016.0,tiny,17.0,17.0,17.0
xgboost,,,,,,-0.1591573947408686,75970.70638020833,89365.88093120781,98.69060703483457,7986260674.610812,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,46021.0,tiny,12.0,11.0,11.0
xgboost,,,,,,0.4187962995542852,67894.97095788046,121429.36919205596,38.3900646362991,14745091702.38063,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,32011.0,tiny,46.0,45.0,45.0
xgboost,,,,,,-0.060532824500934,48799.8765625,73486.46051927283,133.37959083829912,5400259879.650644,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28131.0,tiny,40.0,39.0,39.0
xgboost,,,,,,0.2537017921076928,136106.95683593745,199881.15415005747,84.43518228085912,39952475784.35903,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,30039.0,tiny,40.0,40.0,40.0
xgboost,,,,,,0.5566746262340273,54860.2853860294,87507.15669302562,43.83658031506747,7657502472.49774,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28115.0,tiny,17.0,16.0,16.0
xgboost,,,,,,0.0967955803863807,108539.60111860796,272839.2849178539,51.66028932351539,74441275394.48584,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,13007.0,tiny,44.0,44.0,44.0
xgboost,,,,,,0.4244346476478999,63512.34989519817,168786.86976172944,76.72645841318254,28489007403.96302,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,31171.0,tiny,41.0,41.0,41.0
xgboost,,,,,,-0.1953007737565475,45931.92263104839,57207.98196295198,130.0396065717097,3272753200.273439,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28111.0,tiny,31.0,30.0,30.0
xgboost,,,,,,-0.2585169864564296,86692.43513671872,145349.34729447035,41.56743217809566,21126432758.928555,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48109.0,tiny,24.0,24.0,24.0
xgboost,,,,,,0.4682763389515118,110357.4875,126397.08784258264,44.439183638388904,15976223815.085556,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,2063.0,tiny,5.0,4.0,4.0
xgboost,,,,,,0.625197284844604,47053.34905133928,79569.40913016336,32.27269213906841,6331290869.323325,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,29017.0,tiny,14.0,13.0,13.0
xgboost,,,,,,0.0820015724015474,20110.714099702367,27436.925667290405,53.31191453846964,752784890.0724189,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,54047.0,tiny,42.0,41.0,41.0
xgboost,,,,,,0.2815458075084587,35812.894908536575,49934.88854626808,40.86023192540801,2493493094.128215,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48023.0,tiny,41.0,40.0,40.0
xgboost,,,,,,-13.036451001218936,51860.03348214288,62937.61803707472,177.28556777531674,3961143764.1807137,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28037.0,tiny,7.0,7.0,7.0
xgboost,,,,,,-0.1377060283435771,184170.214662064,399517.05124910816,71.18538163907074,159613874238.78253,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,13307.0,tiny,43.0,42.0,42.0
xgboost,,,,,,0.5456984002635548,42116.29296874999,42126.18691467919,59.83893419312169,1774615623.970488,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48261.0,tiny,2.0,2.0,2.0
xgboost,,,,,,0.1942689011439712,59240.783072916696,80852.39097183557,57.36428832534971,6537109125.862559,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48433.0,tiny,15.0,14.0,14.0
xgboost,,,,,,-2.7092656182037724,53569.465494791664,67469.51498250791,177.25564236844852,4552135451.974859,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28009.0,tiny,12.0,11.0,11.0
xgboost,,,,,,0.4845904097185439,71694.93575284093,87563.87844550057,53.87574303946053,7667432808.4184,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,2100.0,tiny,44.0,44.0,44.0
xgboost,,,,,,0.5576879639447727,113486.33081896552,165407.10428714356,39.41446551137597,27359510148.657986,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,8033.0,tiny,29.0,29.0,29.0
