experiment_name,experiment_description,fips,bin_name,repetition,fold,model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,0,0,tabpfn,36,10,48,2.1536645889282227,0.9530622959136963,-0.1806860664151222,34892.84765625,46772.74464969867,2187689642.065915,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,0,0,xgboost,36,10,48,7.034602403640747,0.0032100677490234375,-0.2328085747299502,36941.55703125,47794.008830647326,2284267280.103995,4.0,0.020499725286000088,250.0,0.7795712527622588,0.8019901880183258,7.0,0.010085938063981873,0.5760419585982671,0.03815096716894672,6.97568154335022
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,0,1,tabpfn,37,9,48,0.35419321060180664,0.2116987705230713,0.7495936711529109,28683.000868055555,36233.13667729067,1312840193.4752264,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,0,1,xgboost,37,9,48,5.016841173171997,0.003141164779663086,0.5112295171777249,32715.06032986111,50621.58824841233,2562545196.791797,3.0,0.03720796539034741,100.0,0.7925209535529287,0.9261186216042504,5.0,0.030298108899048982,2.250317092929961,0.4881001946123308,4.993843078613281
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,0,2,tabpfn,37,9,48,0.3539104461669922,0.2111661434173584,0.4573422163380271,52003.197916666664,78990.2318336903,6239456725.140141,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,0,2,xgboost,37,9,48,5.267437696456909,0.0031850337982177734,0.1768465247166776,68679.26388888889,97286.09649946661,9464584572.103529,3.0,0.031574371069188686,200.0,0.7926932742499807,0.7322999407780716,3.0,0.3102074583354854,7.318224716644666,0.05336018410394671,5.232750415802002
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,0,3,tabpfn,37,9,48,0.3581428527832031,0.21069717407226562,-0.17065025596624817,43926.33159722222,50738.44681422997,2574389985.120443,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,0,3,xgboost,37,9,48,7.752001047134399,0.003200054168701172,-0.008378120322181992,39698.61284722222,47090.71594913213,2217535528.601847,3.0,0.01175043592399892,500.0,0.9041344200263888,0.7840584412353383,7.0,0.04615836436030559,6.750095191677456,0.03123949311911794,7.685395956039429
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,0,4,tabpfn,37,9,48,0.3485376834869385,0.21070122718811035,0.8027353674760069,24163.215277777777,29610.140024850833,876760392.2912734,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,0,4,xgboost,37,9,48,6.251853942871094,0.0031719207763671875,0.42332847042827093,42085.737413194445,50626.75629424106,2563068452.876477,2.0,0.01633944523707526,250.0,0.9147037769146714,0.7055159618997856,8.0,0.04445838941562475,0.8110555273885849,0.023893612955741873,6.215474367141724
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,1,0,tabpfn,36,10,48,0.3572041988372803,0.21274042129516602,-0.27369656346459936,32184.83671875,41642.90903227522,1734131872.6703491,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,1,0,xgboost,36,10,48,6.884686708450317,0.0031592845916748047,-0.18636737884534593,35650.7359375,40189.96888638885,1615233599.088904,3.0,0.013940346079873234,350.0,0.8320457481218804,0.7366114704534336,6.0,0.011715937392307063,6.586289317583113,0.03939675937754723,6.834588050842285
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,1,1,tabpfn,37,9,48,0.3537769317626953,0.21010708808898926,0.5405174010301088,26244.12673611111,45625.099198513824,2081649676.8742268,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,1,1,xgboost,37,9,48,5.570709466934204,0.0031919479370117188,0.21412720990102474,46813.59982638889,59668.54025825222,3560334696.550666,4.0,0.011167633291336344,200.0,0.7748513566252868,0.9966062038806419,4.0,0.016867063275424223,2.3041817319639377,1.3839612530048386,5.533482313156128
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,1,2,tabpfn,37,9,48,0.35547709465026855,0.21064233779907227,-0.9704060197593856,39243.83029513889,49558.554141837754,2456050288.629464,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,1,2,xgboost,37,9,48,7.056786775588989,0.003179788589477539,-0.10008928709032583,29671.97482638889,37030.08699672515,1371227342.9850328,3.0,0.013940346079873234,350.0,0.8320457481218804,0.7366114704534336,6.0,0.011715937392307063,6.586289317583113,0.03939675937754723,7.002763509750366
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,1,3,tabpfn,37,9,48,0.3506314754486084,0.20948290824890137,0.6018559095392294,45232.540364583336,50600.69779859712,2560430617.704951,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,1,3,xgboost,37,9,48,7.0988171100616455,0.003172636032104492,0.5945826279239214,47741.359375,51060.79190680323,2607204470.149862,3.0,0.013506010289082571,250.0,0.8927914288220723,0.9619668624659784,6.0,0.0846698897258068,0.7082596756541454,0.20557345746332453,7.058425664901733
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,1,4,tabpfn,37,9,48,0.3501014709472656,0.21076178550720215,0.3615469992095035,56695.348958333336,83292.55857722677,6937650314.340753,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,1,4,xgboost,37,9,48,5.502836465835571,0.0031566619873046875,-0.06939369782113225,77876.7421875,107797.96115099642,11620400428.311733,2.0,0.03089807336969286,50.0,0.9657340058737465,0.8866188812941074,3.0,0.061540368506170444,0.39117780326330726,0.09769312346350914,5.4865546226501465
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,2,0,tabpfn,36,10,48,0.36217188835144043,0.21146631240844727,0.6473010993171175,40378.664453125,51365.3508781078,2638399270.8311296,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,2,0,xgboost,36,10,48,6.216124773025513,0.0031867027282714844,0.43673782245036785,53633.346875,64911.777396450336,4213538844.7663207,5.0,0.020272287953207443,250.0,0.8183349292716899,0.8304386696671845,9.0,0.16611934427301292,4.8571480498379485,0.01690415947024678,6.178385257720947
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,2,1,tabpfn,37,9,48,0.35304689407348633,0.21144318580627441,-1.212584403760618,33488.40972222222,46643.16751331871,2175585075.67551,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,2,1,xgboost,37,9,48,8.071796894073486,0.0032300949096679688,-1.4678699017797756,26879.712239583332,49260.548442609535,2426601632.8666806,4.0,0.028668734867136312,350.0,0.9997987552981036,0.7867045814282079,3.0,0.012651423837719392,0.8370390152848507,0.1929922860799152,8.013590097427368
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,2,2,tabpfn,37,9,48,0.3489573001861572,0.21077609062194824,0.4164566119413119,53456.59375,79751.6843593016,6360331158.145671,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,2,2,xgboost,37,9,48,6.089489221572876,0.003139972686767578,0.2559269806838569,66526.3671875,90055.67097099606,8110023874.036303,2.0,0.016308355406652878,150.0,0.939711606503986,0.7022273547720038,6.0,0.14255331662802592,0.11335431394085062,0.016541265293892313,6.0630128383636475
no_preprocessing,"Raw features, no transformations (baseline)",28129,small,2,3,tabpfn,37,9,48,0.3636472225189209,0.2102961540222168,0.05985504395753405,34083.75824652778,43827.603372929996,1920858817.4148645,,,,,,,,,,
