experiment_name,experiment_description,fips,bin_name,repetition,fold,model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
no_preprocessing,"Raw features, no transformations (baseline)",28125,small,0,0,tabpfn,64,16,67,2.234187602996826,0.9462363719940186,0.05673376146850684,48287.81872558594,103590.39700375675,10730970351.395935,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28125,small,0,0,xgboost,64,16,67,7.354740381240845,0.004278659820556641,-0.177991853314293,51906.918212890625,115763.99232280323,13401301918.514046,2.0,0.01027003277162991,300.0,0.8291155554109692,0.7697070287865189,4.0,0.06957294197896614,5.934358302392868,0.03338415225579284,7.280237436294556
no_preprocessing,"Raw features, no transformations (baseline)",28125,small,0,1,tabpfn,64,16,67,0.4585278034210205,0.21384286880493164,-3.1506201103463622,37815.92041015625,73739.2876837608,5437482548.1084385,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28125,small,0,1,xgboost,64,16,67,8.756300210952759,0.0042917728424072266,-2.6061874884368215,40348.77380371094,68733.20513390623,4724253487.979634,4.0,0.023566048799217275,250.0,0.8066891835992285,0.8561506042274373,3.0,0.028485739945021946,3.7487751961434315,0.15410494269075523,8.698854207992554
no_preprocessing,"Raw features, no transformations (baseline)",28125,small,0,2,tabpfn,64,16,67,0.4708285331726074,0.21893858909606934,0.3816348746973083,23520.946044921875,28813.207982296393,830200954.2310686,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28125,small,0,2,xgboost,64,16,67,9.574725151062012,0.004270315170288086,0.366897284269288,20714.316650390625,29154.540989488924,849987260.3077898,3.0,0.010681230010873045,300.0,0.9606970121698305,0.8205463659562059,3.0,0.010885097346331205,6.663756584418452,0.1042898416336171,9.5152747631073
no_preprocessing,"Raw features, no transformations (baseline)",28125,small,0,3,tabpfn,64,16,67,0.4690122604370117,0.2145090103149414,0.3462633889719541,28962.0751953125,39080.99538325665,1527324200.1461277,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28125,small,0,3,xgboost,64,16,67,7.243802785873413,0.00420832633972168,0.33079315889494876,27252.25634765625,39540.70413422747,1563467283.4305134,2.0,0.01553878937228125,150.0,0.8604613352422619,0.944872328351833,4.0,0.07185047188381972,1.3332015113264442,0.02956316178579262,7.208994388580322
no_preprocessing,"Raw features, no transformations (baseline)",28125,small,0,4,tabpfn,64,16,67,0.46942996978759766,0.21421098709106445,-0.5363670181707945,38441.031982421875,70780.51820922692,5009881757.966704,,,,,,,,,,
no_preprocessing,"Raw features, no transformations (baseline)",28125,small,0,4,xgboost,64,16,67,7.844970703125,0.0042841434478759766,0.06631684135509575,31495.29345703125,55178.00737127973,3044612497.465,2.0,0.01598034990490662,200.0,0.8462429402303445,0.9229534688658186,3.0,0.1421588699796491,4.006144513259098,0.7703148990559688,7.803162336349487
