fips,size_bucket,county_train_pool_size,county_test_size,requested_train_size,actual_train_size,seed,model,n_features,fit_time,pred_time,r2,mae,rmse,mape,mse,status,experiment_name,experiment_description
17065,small,168,170,5,5,42,tabpfn,107,101.56415224075317,15.110876083374023,0.004689425582265705,33306.36284479623,39744.98793802813,55.79013075598892,1579664066.1940014,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,5,5,42,xgboost,107,8.022217750549316,0.006840229034423828,-0.12569321019545443,35754.83885582564,42268.13479477893,52.60273102761378,1786595219.0296013,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,10,10,42,tabpfn,107,0.3378787040710449,0.22683072090148926,0.4794685060145675,24678.43562356567,33066.790466333005,43.684089010816066,1093412631.7443712,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,10,10,42,xgboost,107,7.021947145462036,0.0068514347076416016,-0.16389491948387835,40033.67947970471,49445.346440776026,71.54513294046986,2444842284.6483626,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,20,20,42,tabpfn,107,0.39388108253479004,0.22656893730163574,0.5849638196978849,26108.2797619004,34909.33693221392,42.37490310060508,1218661805.0468347,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,20,20,42,xgboost,107,7.843573093414307,0.006846189498901367,0.42744368459651527,30929.57520077908,41002.25345106214,44.63623884411776,1681184788.0651374,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,30,30,42,tabpfn,107,0.39685583114624023,0.23505210876464844,0.5663592885434166,26238.478506958298,35609.71592625448,36.950119466315414,1268051868.348542,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,30,30,42,xgboost,107,10.019906520843506,0.006811618804931641,0.42082197079141204,31405.674238805732,41153.76036527674,47.71337841847295,1693631992.2026231,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,40,40,42,tabpfn,107,0.4149155616760254,0.23874330520629883,0.6248511586251193,23643.101934831167,32757.67857311728,34.732610862969935,1073065505.4996668,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,40,40,42,xgboost,107,13.598516702651978,0.0071070194244384766,0.43852145017642974,30190.163906338526,40075.40289677022,38.436726416606575,1606037917.338459,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,50,50,42,tabpfn,107,0.42534589767456055,0.23468899726867676,0.6254031374771264,23427.34367899648,32384.360548326313,35.0181637664735,1048746808.1239936,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,50,50,42,xgboost,107,13.414804458618164,0.0070819854736328125,0.549592943423898,26687.126232994644,35510.423458968864,40.82882589374042,1260990174.2352862,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,60,60,42,tabpfn,107,0.41015625,0.2880227565765381,0.6184891851433272,23397.5349929527,32310.96144232977,34.88789936787482,1043998229.3277212,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,60,60,42,xgboost,107,14.345410823822021,0.006717681884765625,0.5705925552848656,26559.38024800785,34279.24429102578,45.11468634912623,1175066589.1638238,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,80,80,42,tabpfn,107,0.42609620094299316,0.21656513214111328,0.614770932576568,23016.41192423769,31639.459343200633,35.46824348904504,1001055387.5300459,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,80,80,42,xgboost,107,14.866907835006714,0.0068857669830322266,0.5944300756214733,24628.635557050195,32464.027671103922,41.31792129715806,1053913092.6302011,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,100,100,42,tabpfn,107,0.428037166595459,0.21950006484985352,0.6533365864167942,23611.79221825566,32757.23850380808,37.5362466181955,1073036674.3953665,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,100,100,42,xgboost,107,20.04609727859497,0.007052421569824219,0.6046554008685197,25807.503316601254,34981.72193439303,40.69169312929954,1223720869.4951944,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,150,150,42,tabpfn,107,0.3837254047393799,0.3826897144317627,0.6624237978335066,23637.0509436516,32699.43525718162,39.4024158444249,1069253066.1386123,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
17065,small,168,170,150,150,42,xgboost,107,22.213351011276245,0.006810426712036133,0.5521941239324716,27327.39502108726,37661.64060587859,44.37582912687901,1418399173.1263628,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
