experiment_name,experiment_description,fips,bin_name,repetition,fold,model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
with_preprocessing,"Property chars with winsorization, log transform, normalization",28065,small,0,0,tabpfn,18,5,36,2.8000590801239014,0.9782631397247314,-5.2190267463022115,15964.738281249995,22560.255958596128,508965148.9173721,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",28065,small,0,0,xgboost,18,5,36,5.27939510345459,0.0019500255584716797,-1.9153262187381075,13993.407421875008,15446.368432143729,238590297.7415263,4.0,0.23754827388434885,350.0,0.7519823629083447,0.7785199916838841,3.0,0.013264285495181343,0.13109272845510014,0.10203007243131061,5.225668907165527
with_preprocessing,"Property chars with winsorization, log transform, normalization",28065,small,0,1,tabpfn,18,5,36,0.29759764671325684,0.20749998092651367,0.29134718382966107,30876.617187499978,38892.48271370755,1512625211.6360402,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",28065,small,0,1,xgboost,18,5,36,5.134930372238159,0.0019915103912353516,0.34453765124082647,25704.640624999978,37404.40783443307,1399089725.4445982,2.0,0.28615568706966216,350.0,0.808903684656931,0.7926866255763834,3.0,0.08942936526822658,8.005230126270249,0.02641418165901536,5.100207805633545
with_preprocessing,"Property chars with winsorization, log transform, normalization",28065,small,0,2,tabpfn,18,5,36,0.299274206161499,0.2084639072418213,0.2115974286927924,18681.29101562499,28076.260913729195,788276426.8957977,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",28065,small,0,2,xgboost,18,5,36,4.3280816078186035,0.00194549560546875,0.6578064959922802,14115.569140624993,18496.99308123021,342138753.04707825,4.0,0.19429308097674447,150.0,0.7676057612254018,0.7740329128576309,5.0,0.14849495316423997,0.21788204779712123,0.1241670970435963,4.303436756134033
with_preprocessing,"Property chars with winsorization, log transform, normalization",28065,small,0,3,tabpfn,19,4,36,0.29523253440856934,0.20696258544921875,0.47115638638194757,20743.880859375022,35476.69149001892,1258595639.0779812,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",28065,small,0,3,xgboost,19,4,36,3.814155101776123,0.0019490718841552734,0.6444219968098985,16545.303222656265,29090.21443602511,846240575.9339237,4.0,0.22678774338977437,100.0,0.7199244378300959,0.8248956213565491,5.0,0.039810851148178866,0.6023532759623038,0.17746032753412586,3.7979941368103027
with_preprocessing,"Property chars with winsorization, log transform, normalization",28065,small,0,4,tabpfn,19,4,36,0.3004145622253418,0.2071533203125,0.8267425151525856,14287.036376953134,21908.58290776113,479986005.0262431,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",28065,small,0,4,xgboost,19,4,36,5.679871320724487,0.001967906951904297,0.8178525532340504,13668.514160156255,22463.624382887556,504614420.4154603,2.0,0.11571590602831729,500.0,0.80370812357448,0.852566942279301,6.0,0.042840758494890836,1.5363788512374985,0.07026678333253844,5.633883237838745
with_preprocessing,"Property chars with winsorization, log transform, normalization",28065,small,1,0,tabpfn,18,5,36,0.2943856716156006,0.20774364471435547,0.607966734932153,21358.67148437501,28523.59471987651,813595455.743767,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",28065,small,1,0,xgboost,18,5,36,5.467507839202881,0.001953125,0.6353082585022198,20857.658984375008,27510.96102818887,756852976.6945269,3.0,0.0590534184585625,450.0,0.7465885591420677,0.8257399395610331,5.0,0.07574741891530008,3.518826148151234,0.02028891387433857,5.422787427902222
