experiment_name,experiment_description,fips,bin_name,repetition,fold,model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
with_preprocessing,"Property chars with winsorization, log transform, normalization",30075,small,0,0,tabpfn,22,6,35,3.366360902786255,0.9655523300170898,-0.650503833309495,54541.839713541645,66131.4640078557,4373370531.822314,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",30075,small,0,0,xgboost,22,6,35,7.399793863296509,0.0020165443420410156,-1.5471353145907414,73827.57636718747,82153.46340982994,6749191550.230267,2.0,0.06786539543728845,350.0,0.7885819934959069,0.7698710912431029,5.0,0.015019309267955697,0.32710707121370086,0.015061002603925887,7.3237879276275635
with_preprocessing,"Property chars with winsorization, log transform, normalization",30075,small,0,1,tabpfn,22,6,35,0.3182656764984131,0.20357990264892578,0.8755321149805579,18355.959114583333,26758.93204717401,716040444.3052763,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",30075,small,0,1,xgboost,22,6,35,6.435513019561768,0.0020170211791992188,-0.8655501357946125,87090.50989583334,103596.14246130422,10732160732.862839,3.0,0.29317975303568017,450.0,0.8586814074231824,0.8913004019992881,3.0,0.019686895731697494,0.16260552842785186,0.07542619568268734,6.385802984237671
with_preprocessing,"Property chars with winsorization, log transform, normalization",30075,small,0,2,tabpfn,22,6,35,0.31981825828552246,0.20249128341674805,-0.07701378767137457,130455.4790104166,200499.9195320263,40200217732.34902,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",30075,small,0,2,xgboost,22,6,35,16.29544425010681,0.0020170211791992188,-0.073786552511661,131588.70817708326,200199.29857041614,40079759148.086624,5.0,0.012089920894446618,500.0,0.9700185521805659,0.7902405549429781,3.0,0.012227703326335042,0.2265591432524723,0.47151515928550136,16.23528504371643
with_preprocessing,"Property chars with winsorization, log transform, normalization",30075,small,0,3,tabpfn,23,5,35,0.3027477264404297,0.20207905769348145,0.03807550029668039,98317.99843749999,144230.29041934398,20802376674.448307,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",30075,small,0,3,xgboost,23,5,35,7.768958330154419,0.0019965171813964844,0.1388295369083803,106748.82343750002,136467.91232684726,18623491094.84807,5.0,0.021503447857136725,400.0,0.9420746900785423,0.7026114812922318,3.0,0.07339255090747647,0.28766404698995734,0.01732529388415075,7.706701040267944
with_preprocessing,"Property chars with winsorization, log transform, normalization",30075,small,0,4,tabpfn,23,5,35,0.3178727626800537,0.2055203914642334,0.627005006430911,40531.38656249997,46371.620239977674,2150327163.680707,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",30075,small,0,4,xgboost,23,5,35,46.08247423171997,0.001963376998901367,-0.7033469207998737,70652.29468749999,99095.13282422515,9819845349.450823,3.0,0.10328424721971202,150.0,0.8364006968124647,0.7263721669229585,6.0,0.017299689081388115,1.1441863595018156,0.09124985897376524,46.05723524093628
