fips,quantile,coverage,error,n_predictions
13101,0.1,0.09347826086956522,0.006521739130434787,920
13101,0.2,0.21630434782608696,0.016304347826086946,920
13101,0.3,0.3173913043478261,0.017391304347826098,920
13101,0.4,0.40869565217391307,0.008695652173913049,920
13101,0.5,0.49130434782608695,0.008695652173913049,920
13101,0.6,0.5782608695652174,0.021739130434782594,920
13101,0.7,0.6771739130434783,0.022826086956521663,920
13101,0.8,0.7989130434782609,0.0010869565217391797,920
13101,0.9,0.9043478260869565,0.004347826086956497,920
28163,0.1,0.16470588235294117,0.06470588235294117,170
28163,0.2,0.27058823529411763,0.07058823529411762,170
28163,0.3,0.3411764705882353,0.041176470588235314,170
28163,0.4,0.4294117647058823,0.029411764705882304,170
28163,0.5,0.5,0.0,170
28163,0.6,0.611764705882353,0.01176470588235301,170
28163,0.7,0.6705882352941176,0.02941176470588236,170
28163,0.8,0.7411764705882353,0.05882352941176472,170
28163,0.9,0.8235294117647058,0.07647058823529418,170
17069,0.1,0.09090909090909091,0.009090909090909094,550
17069,0.2,0.19272727272727272,0.007272727272727292,550
17069,0.3,0.33090909090909093,0.03090909090909094,550
17069,0.4,0.48,0.07999999999999996,550
17069,0.5,0.5309090909090909,0.030909090909090886,550
17069,0.6,0.6036363636363636,0.0036363636363636598,550
17069,0.7,0.7036363636363636,0.0036363636363636598,550
17069,0.8,0.7836363636363637,0.016363636363636358,550
17069,0.9,0.8563636363636363,0.043636363636363695,550
8061,0.1,0.10985915492957747,0.009859154929577466,710
8061,0.2,0.19295774647887323,0.007042253521126779,710
8061,0.3,0.2746478873239437,0.025352112676056304,710
8061,0.4,0.3676056338028169,0.03239436619718311,710
8061,0.5,0.5309859154929577,0.030985915492957705,710
8061,0.6,0.6394366197183099,0.03943661971830992,710
8061,0.7,0.7281690140845071,0.028169014084507116,710
8061,0.8,0.8056338028169014,0.005633802816901401,710
8061,0.9,0.8971830985915493,0.0028169014084507005,710
2275,0.1,0.12666666666666668,0.026666666666666672,150
2275,0.2,0.3333333333333333,0.1333333333333333,150
2275,0.3,0.4,0.10000000000000003,150
2275,0.4,0.4066666666666667,0.006666666666666654,150
2275,0.5,0.4866666666666667,0.013333333333333308,150
2275,0.6,0.62,0.020000000000000018,150
2275,0.7,0.74,0.040000000000000036,150
2275,0.8,0.8066666666666666,0.006666666666666599,150
2275,0.9,0.8466666666666667,0.053333333333333344,150
2232,0.1,0.15476190476190477,0.05476190476190476,420
2232,0.2,0.21428571428571427,0.014285714285714263,420
2232,0.3,0.3119047619047619,0.011904761904761918,420
2232,0.4,0.3880952380952381,0.011904761904761918,420
2232,0.5,0.45714285714285713,0.04285714285714287,420
2232,0.6,0.5761904761904761,0.023809523809523836,420
2232,0.7,0.7166666666666667,0.01666666666666672,420
2232,0.8,0.7666666666666667,0.033333333333333326,420
2232,0.9,0.9119047619047619,0.011904761904761862,420
25007,0.1,0.1,0.0,520
25007,0.2,0.19230769230769232,0.007692307692307693,520
25007,0.3,0.3326923076923077,0.03269230769230769,520
25007,0.4,0.4403846153846154,0.04038461538461535,520
25007,0.5,0.5538461538461539,0.05384615384615388,520
25007,0.6,0.6076923076923076,0.007692307692307665,520
25007,0.7,0.6653846153846154,0.0346153846153846,520
25007,0.8,0.7865384615384615,0.013461538461538525,520
25007,0.9,0.8903846153846153,0.009615384615384692,520
13307,0.1,0.10588235294117647,0.005882352941176464,850
13307,0.2,0.18470588235294116,0.015294117647058847,850
13307,0.3,0.3376470588235294,0.03764705882352942,850
13307,0.4,0.4235294117647059,0.023529411764705854,850
13307,0.5,0.508235294117647,0.008235294117647007,850
13307,0.6,0.6070588235294118,0.007058823529411784,850
13307,0.7,0.7058823529411765,0.005882352941176561,850
13307,0.8,0.7811764705882352,0.018823529411764794,850
13307,0.9,0.8835294117647059,0.016470588235294126,850
28111,0.1,0.10655737704918032,0.006557377049180316,610
28111,0.2,0.22459016393442624,0.02459016393442623,610
28111,0.3,0.30655737704918035,0.006557377049180357,610
28111,0.4,0.40491803278688526,0.00491803278688524,610
28111,0.5,0.5065573770491804,0.006557377049180357,610
28111,0.6,0.601639344262295,0.0016393442622950616,610
28111,0.7,0.7114754098360656,0.011475409836065653,610
28111,0.8,0.7786885245901639,0.021311475409836134,610
28111,0.9,0.8442622950819673,0.05573770491803276,610
21237,0.1,0.11076923076923077,0.010769230769230767,650
21237,0.2,0.2353846153846154,0.035384615384615375,650
21237,0.3,0.31846153846153846,0.018461538461538474,650
21237,0.4,0.4169230769230769,0.016923076923076874,650
21237,0.5,0.49846153846153846,0.001538461538461544,650
21237,0.6,0.5661538461538461,0.03384615384615386,650
21237,0.7,0.6523076923076923,0.0476923076923077,650
21237,0.8,0.7692307692307693,0.03076923076923077,650
21237,0.9,0.9076923076923077,0.007692307692307665,650
21189,0.1,0.1024390243902439,0.0024390243902438907,410
21189,0.2,0.2682926829268293,0.06829268292682927,410
21189,0.3,0.35121951219512193,0.05121951219512194,410
21189,0.4,0.4268292682926829,0.026829268292682895,410
21189,0.5,0.5146341463414634,0.014634146341463428,410
21189,0.6,0.5951219512195122,0.004878048780487809,410
21189,0.7,0.6853658536585366,0.014634146341463317,410
21189,0.8,0.8317073170731707,0.03170731707317065,410
21189,0.9,0.8951219512195122,0.004878048780487809,410
29199,0.1,0.09682539682539683,0.003174603174603177,630
29199,0.2,0.19365079365079366,0.006349206349206354,630
29199,0.3,0.2968253968253968,0.0031746031746031633,630
29199,0.4,0.41904761904761906,0.019047619047619035,630
29199,0.5,0.5349206349206349,0.03492063492063491,630
29199,0.6,0.6492063492063492,0.049206349206349254,630
29199,0.7,0.7206349206349206,0.020634920634920673,630
29199,0.8,0.8126984126984127,0.012698412698412653,630
29199,0.9,0.8888888888888888,0.011111111111111183,630
1041,0.1,0.058823529411764705,0.0411764705882353,170
1041,0.2,0.2411764705882353,0.04117647058823529,170
1041,0.3,0.3235294117647059,0.02352941176470591,170
1041,0.4,0.40588235294117647,0.00588235294117645,170
1041,0.5,0.5176470588235295,0.01764705882352946,170
1041,0.6,0.6058823529411764,0.00588235294117645,170
1041,0.7,0.7176470588235294,0.01764705882352946,170
1041,0.8,0.8058823529411765,0.00588235294117645,170
1041,0.9,0.8823529411764706,0.01764705882352946,170
31015,0.1,0.09887640449438202,0.001123595505617983,890
31015,0.2,0.21348314606741572,0.013483146067415713,890
31015,0.3,0.28876404494382024,0.011235955056179747,890
31015,0.4,0.37640449438202245,0.023595505617977575,890
31015,0.5,0.5089887640449439,0.008988764044943864,890
31015,0.6,0.6179775280898876,0.017977528089887618,890
31015,0.7,0.7269662921348314,0.026966292134831482,890
31015,0.8,0.7966292134831461,0.003370786516853963,890
31015,0.9,0.8651685393258427,0.03483146067415732,890
1065,0.1,0.0945945945945946,0.005405405405405406,740
1065,0.2,0.19324324324324324,0.006756756756756771,740
1065,0.3,0.3013513513513513,0.0013513513513513375,740
1065,0.4,0.40135135135135136,0.0013513513513513375,740
1065,0.5,0.5243243243243243,0.024324324324324298,740
1065,0.6,0.6027027027027027,0.002702702702702675,740
1065,0.7,0.6986486486486486,0.0013513513513513375,740
1065,0.8,0.8,0.0,740
1065,0.9,0.8810810810810811,0.018918918918918948,740
2016,0.1,0.07352941176470588,0.02647058823529412,340
2016,0.2,0.13823529411764707,0.061764705882352944,340
2016,0.3,0.3176470588235294,0.017647058823529405,340
2016,0.4,0.4264705882352941,0.02647058823529408,340
2016,0.5,0.5441176470588235,0.044117647058823484,340
2016,0.6,0.6411764705882353,0.04117647058823537,340
2016,0.7,0.7323529411764705,0.032352941176470584,340
2016,0.8,0.8205882352941176,0.020588235294117574,340
2016,0.9,0.8735294117647059,0.026470588235294135,340
1011,0.1,0.10813953488372093,0.00813953488372092,860
1011,0.2,0.21046511627906977,0.010465116279069764,860
1011,0.3,0.3058139534883721,0.005813953488372103,860
1011,0.4,0.37209302325581395,0.027906976744186074,860
1011,0.5,0.4627906976744186,0.037209302325581395,860
1011,0.6,0.5720930232558139,0.027906976744186074,860
1011,0.7,0.7104651162790697,0.010465116279069764,860
1011,0.8,0.7930232558139535,0.006976744186046546,860
1011,0.9,0.9011627906976745,0.0011627906976744429,860
2185,0.1,0.08947368421052632,0.01052631578947369,190
2185,0.2,0.24210526315789474,0.04210526315789473,190
2185,0.3,0.28421052631578947,0.01578947368421052,190
2185,0.4,0.43157894736842106,0.03157894736842104,190
2185,0.5,0.5210526315789473,0.021052631578947323,190
2185,0.6,0.5842105263157895,0.015789473684210464,190
2185,0.7,0.6631578947368421,0.0368421052631579,190
2185,0.8,0.7947368421052632,0.0052631578947368585,190
2185,0.9,0.9157894736842105,0.015789473684210464,190
13265,0.1,0.10684931506849316,0.00684931506849315,730
13265,0.2,0.1958904109589041,0.004109589041095901,730
13265,0.3,0.2876712328767123,0.012328767123287676,730
13265,0.4,0.41506849315068495,0.015068493150684925,730
13265,0.5,0.536986301369863,0.03698630136986303,730
13265,0.6,0.6287671232876713,0.02876712328767128,730
13265,0.7,0.6904109589041096,0.009589041095890316,730
13265,0.8,0.7534246575342466,0.046575342465753455,730
13265,0.9,0.8589041095890411,0.04109589041095896,730
28125,0.1,0.11875,0.01874999999999999,800
28125,0.2,0.215,0.014999999999999986,800
28125,0.3,0.30125,0.0012500000000000289,800
28125,0.4,0.365,0.03500000000000003,800
28125,0.5,0.455,0.044999999999999984,800
28125,0.6,0.56375,0.036250000000000004,800
28125,0.7,0.68,0.019999999999999907,800
28125,0.8,0.78125,0.018750000000000044,800
28125,0.9,0.89625,0.003750000000000031,800
31091,0.1,0.12682926829268293,0.026829268292682923,820
31091,0.2,0.22926829268292684,0.029268292682926828,820
31091,0.3,0.3024390243902439,0.0024390243902439046,820
31091,0.4,0.38170731707317074,0.018292682926829285,820
31091,0.5,0.47560975609756095,0.024390243902439046,820
31091,0.6,0.6085365853658536,0.008536585365853666,820
31091,0.7,0.7182926829268292,0.018292682926829285,820
31091,0.8,0.8170731707317073,0.01707317073170722,820
31091,0.9,0.8926829268292683,0.007317073170731714,820
28009,0.1,0.10869565217391304,0.008695652173913035,230
28009,0.2,0.20869565217391303,0.008695652173913021,230
28009,0.3,0.30869565217391304,0.008695652173913049,230
28009,0.4,0.4434782608695652,0.04347826086956519,230
28009,0.5,0.5782608695652174,0.07826086956521738,230
28009,0.6,0.6565217391304348,0.05652173913043479,230
28009,0.7,0.7260869565217392,0.026086956521739202,230
28009,0.8,0.7913043478260869,0.008695652173913104,230
28009,0.9,0.8521739130434782,0.047826086956521796,230
1075,0.1,0.08823529411764706,0.011764705882352941,340
1075,0.2,0.2323529411764706,0.032352941176470584,340
1075,0.3,0.3558823529411765,0.055882352941176494,340
1075,0.4,0.47058823529411764,0.07058823529411762,340
1075,0.5,0.5441176470588235,0.044117647058823484,340
1075,0.6,0.6294117647058823,0.02941176470588236,340
1075,0.7,0.6764705882352942,0.0235294117647058,340
1075,0.8,0.7705882352941177,0.02941176470588236,340
1075,0.9,0.8852941176470588,0.014705882352941235,340
28041,0.1,0.14,0.04000000000000001,150
28041,0.2,0.14,0.06,150
28041,0.3,0.19333333333333333,0.10666666666666666,150
28041,0.4,0.32,0.08000000000000002,150
28041,0.5,0.52,0.020000000000000018,150
28041,0.6,0.6333333333333333,0.033333333333333326,150
28041,0.7,0.7066666666666667,0.00666666666666671,150
28041,0.8,0.7933333333333333,0.00666666666666671,150
28041,0.9,0.8533333333333334,0.046666666666666634,150
16033,0.1,0.0761904761904762,0.023809523809523808,210
16033,0.2,0.2,0.0,210
16033,0.3,0.3523809523809524,0.05238095238095242,210
16033,0.4,0.4,0.0,210
16033,0.5,0.4666666666666667,0.033333333333333326,210
16033,0.6,0.5523809523809524,0.04761904761904756,210
16033,0.7,0.638095238095238,0.06190476190476191,210
16033,0.8,0.7333333333333333,0.06666666666666676,210
16033,0.9,0.8761904761904762,0.023809523809523836,210
2100,0.1,0.1409090909090909,0.040909090909090895,880
2100,0.2,0.21136363636363636,0.011363636363636354,880
2100,0.3,0.29318181818181815,0.006818181818181834,880
2100,0.4,0.3806818181818182,0.019318181818181845,880
2100,0.5,0.4943181818181818,0.005681818181818177,880
2100,0.6,0.5897727272727272,0.010227272727272751,880
2100,0.7,0.6943181818181818,0.005681818181818121,880
2100,0.8,0.7852272727272728,0.01477272727272727,880
2100,0.9,0.9034090909090909,0.003409090909090917,880
30075,0.1,0.07857142857142857,0.021428571428571436,280
30075,0.2,0.20714285714285716,0.007142857142857145,280
30075,0.3,0.3107142857142857,0.010714285714285732,280
30075,0.4,0.40714285714285714,0.0071428571428571175,280
30075,0.5,0.5428571428571428,0.042857142857142816,280
30075,0.6,0.6607142857142857,0.06071428571428572,280
30075,0.7,0.7571428571428571,0.05714285714285716,280
30075,0.8,0.8392857142857143,0.03928571428571426,280
30075,0.9,0.8892857142857142,0.010714285714285787,280
30051,0.1,0.14,0.04000000000000001,450
30051,0.2,0.2511111111111111,0.05111111111111111,450
30051,0.3,0.3288888888888889,0.02888888888888891,450
30051,0.4,0.4111111111111111,0.011111111111111072,450
30051,0.5,0.52,0.020000000000000018,450
30051,0.6,0.6155555555555555,0.015555555555555545,450
30051,0.7,0.6866666666666666,0.013333333333333308,450
30051,0.8,0.7622222222222222,0.0377777777777778,450
30051,0.9,0.9111111111111111,0.011111111111111072,450
13007,0.1,0.09213483146067415,0.007865168539325854,890
13007,0.2,0.18764044943820224,0.012359550561797772,890
13007,0.3,0.2910112359550562,0.008988764044943809,890
13007,0.4,0.4303370786516854,0.03033707865168539,890
13007,0.5,0.5269662921348315,0.026966292134831482,890
13007,0.6,0.6123595505617978,0.012359550561797827,890
13007,0.7,0.6921348314606741,0.00786516853932584,890
13007,0.8,0.7629213483146068,0.03707865168539326,890
13007,0.9,0.8685393258426967,0.03146067415730336,890
28117,0.1,0.10857142857142857,0.008571428571428563,700
28117,0.2,0.20857142857142857,0.008571428571428563,700
28117,0.3,0.3342857142857143,0.03428571428571431,700
28117,0.4,0.45571428571428574,0.055714285714285716,700
28117,0.5,0.5457142857142857,0.04571428571428571,700
28117,0.6,0.6528571428571428,0.052857142857142825,700
28117,0.7,0.7414285714285714,0.04142857142857148,700
28117,0.8,0.8114285714285714,0.011428571428571344,700
28117,0.9,0.89,0.010000000000000009,700
28065,0.1,0.1,0.0,230
28065,0.2,0.20869565217391303,0.008695652173913021,230
28065,0.3,0.3652173913043478,0.06521739130434784,230
28065,0.4,0.4782608695652174,0.07826086956521738,230
28065,0.5,0.5217391304347826,0.021739130434782594,230
28065,0.6,0.5826086956521739,0.017391304347826098,230
28065,0.7,0.6826086956521739,0.017391304347826098,230
28065,0.8,0.7913043478260869,0.008695652173913104,230
28065,0.9,0.9043478260869565,0.004347826086956497,230
30069,0.1,0.07692307692307693,0.023076923076923078,130
30069,0.2,0.15384615384615385,0.046153846153846156,130
30069,0.3,0.2692307692307692,0.03076923076923077,130
30069,0.4,0.3,0.10000000000000003,130
30069,0.5,0.45384615384615384,0.046153846153846156,130
30069,0.6,0.6461538461538462,0.04615384615384621,130
30069,0.7,0.7384615384615385,0.03846153846153855,130
30069,0.8,0.8,0.0,130
30069,0.9,0.8384615384615385,0.06153846153846154,130
28139,0.1,0.1,0.0,100
28139,0.2,0.21,0.009999999999999981,100
28139,0.3,0.4,0.10000000000000003,100
28139,0.4,0.53,0.13,100
28139,0.5,0.6,0.09999999999999998,100
28139,0.6,0.69,0.08999999999999997,100
28139,0.7,0.69,0.010000000000000009,100
28139,0.8,0.7,0.10000000000000009,100
28139,0.9,0.7,0.20000000000000007,100
29149,0.1,0.1523809523809524,0.05238095238095239,210
29149,0.2,0.26666666666666666,0.06666666666666665,210
29149,0.3,0.3333333333333333,0.033333333333333326,210
29149,0.4,0.4142857142857143,0.01428571428571429,210
29149,0.5,0.5142857142857142,0.014285714285714235,210
29149,0.6,0.5571428571428572,0.042857142857142816,210
29149,0.7,0.6952380952380952,0.004761904761904745,210
29149,0.8,0.7904761904761904,0.009523809523809601,210
29149,0.9,0.8952380952380953,0.004761904761904745,210
30045,0.1,0.10285714285714286,0.0028571428571428498,700
30045,0.2,0.16428571428571428,0.035714285714285726,700
30045,0.3,0.26285714285714284,0.037142857142857144,700
30045,0.4,0.36714285714285716,0.03285714285714286,700
30045,0.5,0.4642857142857143,0.0357142857142857,700
30045,0.6,0.6014285714285714,0.0014285714285714457,700
30045,0.7,0.73,0.030000000000000027,700
30045,0.8,0.8185714285714286,0.018571428571428572,700
30045,0.9,0.8914285714285715,0.008571428571428563,700
29083,0.1,0.10120481927710843,0.0012048192771084293,830
29083,0.2,0.19036144578313252,0.00963855421686749,830
29083,0.3,0.27228915662650605,0.027710843373493943,830
29083,0.4,0.3891566265060241,0.010843373493975905,830
29083,0.5,0.5228915662650603,0.02289156626506028,830
29083,0.6,0.6265060240963856,0.026506024096385583,830
