experiment_name,experiment_description,fips,bin_name,repetition,fold,model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,0,0,tabpfn,56,14,60,3.2192840576171875,0.947303295135498,0.9129558473982547,49148.404531249995,54441.17950674777,2963842026.0859337
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,0,1,tabpfn,56,14,60,1.0202443599700928,0.2148299217224121,0.25665874328522553,246281.17864955348,600909.6899196027,361092455439.2731
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,0,2,tabpfn,56,14,60,0.4148402214050293,0.2152101993560791,0.10977176316986081,150681.57310267867,352196.52379379614,124042391372.434
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,0,3,tabpfn,56,14,60,0.4250774383544922,0.21428680419921875,0.2374513820031755,60208.97366071423,82052.62671449641,6732633550.74849
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,0,4,tabpfn,56,14,60,0.4108874797821045,0.21455073356628418,0.8861409209321361,16587.393325892823,21267.908055997825,452323913.07837725
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,1,0,tabpfn,56,14,60,0.4094405174255371,0.219221830368042,0.21449178674218128,146563.97929687516,323033.44106865,104350604048.65297
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,1,1,tabpfn,56,14,60,0.4210193157196045,0.21493029594421387,0.42525038377042446,182112.78118303552,508857.35395898676,258935806678.1415
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,1,2,tabpfn,56,14,60,0.4225919246673584,0.21397018432617188,0.9090809210203799,45445.11941964285,55811.51415639161,3114925112.429101
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,1,3,tabpfn,56,14,60,0.42417025566101074,0.21597552299499512,0.15989866671279285,44315.640256696446,69745.15193387923,4864386218.279897
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,1,4,tabpfn,56,14,60,0.4056262969970703,0.21402430534362793,0.5500815595494519,85979.37116071432,174116.95948931502,30316715581.803764
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,2,0,tabpfn,56,14,60,0.41941261291503906,0.21572279930114746,-2.3526493458668307,103434.50745535712,159388.6004435015,25404725951.33816
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,2,1,tabpfn,56,14,60,0.4255526065826416,0.21481919288635254,-0.04313935099801669,172708.12737723216,415609.67868831614,172731405019.40536
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,2,2,tabpfn,56,14,60,0.42406654357910156,0.2145388126373291,-0.04942032555677245,43707.63839285715,66487.99087755919,4420652930.934394
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",30045,small,2,3,tabpfn,56,14,60,0.40824246406555176,0.214202880859375,0.3943686005204635,103613.58796875006,211138.47469444753,44579455496.29786
