experiment_name,experiment_description,fips,bin_name,repetition,fold,model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,0,0,tabpfn,48,13,47,2.177854537963867,0.9498281478881836,0.6644438600573763,19621.038686899035,25577.02537688992,654184227.1300709
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,0,1,tabpfn,49,12,47,0.3564143180847168,0.20340847969055176,0.3947401068704489,25998.110839843735,36199.380881168036,1310395176.1798737
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,0,2,tabpfn,49,12,47,0.34734106063842773,0.2064979076385498,0.7693764248322054,15466.500488281248,19375.88903608809,375425075.9387987
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,0,3,tabpfn,49,12,47,0.3553164005279541,0.20263433456420898,0.5679477036387836,21405.22819010413,28750.281964264315,826578713.0247021
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,0,4,tabpfn,49,12,47,0.35172247886657715,0.20224285125732422,0.17990638066720377,29613.482096354168,36960.07033546599,1366046799.202593
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,1,0,tabpfn,48,13,47,0.3401200771331787,0.20366954803466797,0.47177468470626505,28631.277944711503,37213.98507992916,1384880685.5291903
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,1,1,tabpfn,49,12,47,0.34375691413879395,0.20266509056091309,-0.11568030793620498,25833.503092447925,34092.32952668011,1162286932.5557444
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,1,2,tabpfn,49,12,47,0.34787631034851074,0.20221495628356934,0.6753297970138499,18133.5166015625,23069.100789512995,532183411.23670906
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,1,3,tabpfn,49,12,47,0.3492317199707031,0.20268869400024414,0.4381291461503485,21910.373372395832,31533.282595705798,994347911.260642
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,1,4,tabpfn,49,12,47,0.3442649841308594,0.2106165885925293,0.6437648952349566,21098.94628906249,26579.00528132945,706443521.7449389
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,2,0,tabpfn,48,13,47,0.3392963409423828,0.20267677307128906,0.35210216864598376,29191.07902644228,38638.436321909496,1492928761.4022548
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,2,1,tabpfn,49,12,47,0.3367116451263428,0.2074904441833496,0.43739691519991775,22062.244140624996,26621.51171347923,708704885.9109119
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,2,2,tabpfn,49,12,47,0.34348130226135254,0.20055317878723145,0.7099718390251315,20199.729410807297,24426.963520690773,596676546.8411578
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,2,3,tabpfn,49,12,47,0.33279919624328613,0.2012939453125,0.46472049964667794,25246.856770833325,33138.15012817126,1098136993.917217
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,2,4,tabpfn,49,12,47,0.33457326889038086,0.20106029510498047,0.718015983645404,18303.76416015623,23141.22661579303,535516369.28348774
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,3,0,tabpfn,48,13,47,0.34231114387512207,0.2044084072113037,-1.3114511506156443,39186.724459134595,46056.77131994744,2121226184.417933
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,3,1,tabpfn,49,12,47,0.33352136611938477,0.20087051391601562,0.07849200776120102,28363.666666666675,36038.334373851285,1298761544.4415112
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",28111,small,3,2,tabpfn,49,12,47,0.3304121494293213,0.20389151573181152,0.6015592983005523,13683.04248046874,17741.9743318804,314777653.1931029
