experiment_name,experiment_description,fips,bin_name,repetition,fold,model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,0,0,tabpfn,46,12,34,2.080148935317993,0.9464607238769531,-0.10046620819326813,179338.91861979177,262610.4519936967,68964249496.33368
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,0,1,tabpfn,46,12,34,0.29466915130615234,0.2022714614868164,0.13605473799857892,172773.2252604167,270879.6164681028,73375766617.90645
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,0,2,tabpfn,46,12,34,0.29337167739868164,0.2030637264251709,0.04789258953597353,134263.953125,178742.4222701701,31948853519.007793
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,0,3,tabpfn,47,11,34,0.30837035179138184,0.20104765892028809,0.25878907502356296,79614.58238636355,89242.80193643703,7964277697.466129
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,0,4,tabpfn,47,11,34,0.30089330673217773,0.20356082916259766,0.37878346161291,75284.29119318177,89550.51975776073,8019295588.885096
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,1,0,tabpfn,46,12,34,0.3072953224182129,0.2044222354888916,0.3611409395247377,75129.10742187496,93346.65602911358,8713598191.817648
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,1,1,tabpfn,46,12,34,0.2944493293762207,0.20768260955810547,0.016602789805502782,138382.65104166666,231036.88196199536,53378040826.72097
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,1,2,tabpfn,46,12,34,0.3350675106048584,0.20386004447937012,0.09085578629521107,138998.03255208337,181010.91696431822,32764952060.26331
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,1,3,tabpfn,47,11,34,0.31783413887023926,0.20525646209716797,0.20738954981713376,132794.01988636373,220549.5211994315,48642091301.298485
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,1,4,tabpfn,47,11,34,0.300548791885376,0.20537567138671875,0.07258725504799712,156573.90767045468,220272.20492015374,48519844260.38621
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,2,0,tabpfn,46,12,34,0.30559825897216797,0.20451688766479492,0.3266677333731607,106089.13281249993,164846.30974063184,27174305835.10433
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,2,1,tabpfn,46,12,34,0.3029007911682129,0.2025153636932373,-0.22223044978244522,197927.90494791677,270096.0209527911,72951860534.53056
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,2,2,tabpfn,46,12,34,0.2976839542388916,0.20354318618774414,0.05720812926728702,98768.80794270831,112492.15420480333,12654484757.63725
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,2,3,tabpfn,47,11,34,0.2928290367126465,0.20458078384399414,0.4184727101689272,103982.30113636363,152360.3432637545,23213674199.4491
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,2,4,tabpfn,47,11,34,0.29316210746765137,0.20507383346557617,0.24169899702915876,143784.91335227282,219819.82353315834,48320754818.14887
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,3,0,tabpfn,46,12,34,0.30696821212768555,0.20464754104614258,0.20535671431961644,92430.12109374996,114767.87884179251,13171666013.844366
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,3,1,tabpfn,46,12,34,0.30297040939331055,0.20498943328857422,-0.03049807226400425,206326.50260416672,287850.97886311956,82858186032.45609
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,3,2,tabpfn,46,12,34,0.30245089530944824,0.20481085777282715,-0.42684126998046423,156219.04427083337,237035.2278403845,56185699237.342995
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,3,3,tabpfn,47,11,34,0.2929069995880127,0.20020723342895508,0.18362963751567374,134815.65838068185,172429.527925499,29731942100.61044
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,3,4,tabpfn,47,11,34,0.2902250289916992,0.20351099967956543,0.19947752582331824,111133.07031250001,166183.74850921397,27617038268.573673
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,4,0,tabpfn,46,12,34,0.29747724533081055,0.20595335960388184,-0.011263109086013356,173325.30338541672,277975.4219771782,77270335223.39027
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,4,1,tabpfn,46,12,34,0.3011162281036377,0.205488920211792,-0.9428664527352977,163271.0091145834,215576.52637386997,46473238723.42385
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,4,2,tabpfn,46,12,34,0.2918720245361328,0.20741558074951172,0.4154308037051786,106418.361328125,144758.95176744508,20955154116.809494
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,4,3,tabpfn,47,11,34,0.32909274101257324,0.20435643196105957,0.023373707196706506,149188.51988636368,223370.88699473493,49894553156.81464
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,4,4,tabpfn,47,11,34,0.30562353134155273,0.20187091827392578,-0.28294529080426134,108492.8451704545,133872.91309381629,17921956860.224487
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,5,0,tabpfn,46,12,34,0.3001430034637451,0.2095198631286621,0.11474647148423311,186417.88541666674,268390.51531711867,72033468712.1885
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,5,1,tabpfn,46,12,34,0.322127103805542,0.2015678882598877,0.40403283569010773,130245.48697916667,151952.53270205332,23089572194.568584
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,5,2,tabpfn,46,12,34,0.29660487174987793,0.2011876106262207,-0.7241859759843219,73912.18489583328,90881.03593531773,8259362692.676514
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,5,3,tabpfn,47,11,34,0.3004615306854248,0.20252203941345215,0.0655382249854326,95020.36079545453,116348.7343658767,13537027988.541338
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,5,4,tabpfn,47,11,34,0.30699849128723145,0.20015263557434082,-0.03484431597066373,163249.05965909094,276626.0998505045,76521999118.50128
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,6,0,tabpfn,46,12,34,0.2960011959075928,0.2009294033050537,0.3562380905285514,109302.56640625001,154575.41383639898,23893558562.694004
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,6,1,tabpfn,46,12,34,0.29320573806762695,0.2014470100402832,0.15668703811915774,88795.68229166663,106999.35039924966,11448860985.861406
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,6,2,tabpfn,46,12,34,0.2955036163330078,0.20232915878295898,0.019764019772525288,165213.7239583334,262615.78071314545,68967048279.5749
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,6,3,tabpfn,47,11,34,0.29762768745422363,0.20079922676086426,0.1920879421708951,126703.59090909096,210121.13791720918,44150892599.62285
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,6,4,tabpfn,47,11,34,0.2966775894165039,0.20119261741638184,-0.11478861036005394,137348.17400568182,183143.18997950465,33541428035.86893
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,7,0,tabpfn,46,12,34,0.2969322204589844,0.20266985893249512,0.05080930677708506,103031.224609375,131989.29532287607,17421174079.8294
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,7,1,tabpfn,46,12,34,0.29497718811035156,0.20189285278320312,-0.13075997609006706,128063.85156250001,162025.56091183642,26252282388.79521
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,7,2,tabpfn,46,12,34,0.2851521968841553,0.20267844200134277,0.11488510796950491,140556.76953125012,259959.08479650723,67578725768.23763
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,7,3,tabpfn,47,11,34,0.29233813285827637,0.20867586135864258,0.16690906860771137,155440.64346590906,220045.11869014055,48419854259.35804
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,7,4,tabpfn,47,11,34,0.28908586502075195,0.20035123825073242,0.296986052178813,98565.81463068182,155661.08844623226,24230374456.265743
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,8,0,tabpfn,46,12,34,0.2917807102203369,0.20238304138183594,-0.1637662043626833,226455.24674479172,306719.67781491874,94076960758.88757
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,8,1,tabpfn,46,12,34,0.298539400100708,0.20505118370056152,0.015314857247175961,140313.97981770828,212584.05724378914,45191981394.23061
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,8,2,tabpfn,46,12,34,0.3029191493988037,0.20483160018920898,0.2676014498528634,101761.64973958333,121757.77458567852,14824955672.056902
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,8,3,tabpfn,47,11,34,0.2950890064239502,0.2035682201385498,-0.342907735106345,78200.1796875,101336.1836465041,10269022116.038006
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,8,4,tabpfn,47,11,34,0.29203104972839355,0.2046220302581787,0.43370142525367483,121091.02982954546,148107.37114658573,21935793387.952496
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,9,0,tabpfn,46,12,34,0.2923264503479004,0.2024545669555664,0.2645589920657698,115165.17187499993,162086.3473570321,26271983999.544468
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,9,1,tabpfn,46,12,34,0.29967474937438965,0.20367813110351562,0.013253881493421882,88111.6653645833,108383.56471924888,11746997101.25161
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,9,2,tabpfn,46,12,34,0.30004048347473145,0.20396876335144043,0.08974617398429663,157515.27083333337,227422.9421331342,51721194608.490906
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,9,3,tabpfn,47,11,34,0.2877969741821289,0.20995783805847168,0.1435590496264284,65426.06036931817,86644.71456526898,7507306562.096933
calibration_with_preprocessing,"Calibration analysis with winsorization, log transform, normalization",8033,small,9,4,tabpfn,47,11,34,0.29152846336364746,0.20155954360961914,-0.11989913300544064,219371.58380681832,305331.42438389565,93227278716.2986
