fips,size_bucket,county_train_pool_size,county_test_size,requested_train_size,actual_train_size,seed,model,n_features,fit_time,pred_time,r2,mae,rmse,mape,mse,status,experiment_name,experiment_description
48419,small,215,218,5,5,42,tabpfn,107,23.328959703445435,3.125310182571411,-0.6345746886057613,55922.66089546797,64545.043609266424,52.7953585995438,4166062654.5221043,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,5,5,42,xgboost,107,132.06269884109497,0.006946086883544922,-1.0712181809923136,63397.57698276728,72656.32690506184,56.980005918065245,5278941839.335214,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,10,10,42,tabpfn,107,0.7955172061920166,0.22887134552001953,0.014970929858842186,46934.21809792112,51259.842950041406,73.04389818486476,2627571499.2629094,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,10,10,42,xgboost,107,122.51313209533691,0.00673675537109375,-0.8972528780479201,62916.10656409085,71140.24518119115,69.6219349996991,5060934484.439989,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,20,20,42,tabpfn,107,0.47310686111450195,0.22447991371154785,-0.15617476691760435,80544.11167392645,94307.28016103615,142.49641632559192,8893863091.372162,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,20,20,42,xgboost,107,13.191794395446777,0.006562948226928711,-0.0025620884474870653,70179.4040459878,87819.12698272751,95.68394490625897,7712199064.008418,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,30,30,42,tabpfn,107,0.46013736724853516,0.22560358047485352,-0.5896566181121834,98561.98043809661,115114.11718722852,168.23244928116742,13251259975.794981,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,30,30,42,xgboost,107,8.694392204284668,0.0063724517822265625,0.17731126802216712,65203.60573196127,82812.27211249819,81.45387908359518,6857872412.434444,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,40,40,42,tabpfn,107,0.6956188678741455,0.22691869735717773,0.24314586042145303,60909.880863305574,79175.79844201061,73.51449425958491,6268807058.929889,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,40,40,42,xgboost,107,11.779318809509277,0.0064697265625,0.19780471687971246,63793.039010524604,81512.91200859573,82.44747907407779,6644354824.121069,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,50,50,42,tabpfn,107,0.47242069244384766,0.22655797004699707,0.15455226539200428,64225.77464516833,83440.0329733353,69.59975072724113,6962239102.591281,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,50,50,42,xgboost,107,14.429452896118164,0.006731748580932617,0.05166842116062953,68918.5798193369,88371.28923986599,75.67218109122184,7809484761.916054,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,60,60,42,tabpfn,107,0.45723938941955566,0.22439074516296387,0.16911058376041554,63457.747038129804,82499.4846779558,63.72610102212116,6806164972.1282625,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,60,60,42,xgboost,107,13.979283094406128,0.006751060485839844,0.10669155969759336,65536.05514485284,85542.18534486872,73.06457617808239,7317465473.575871,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,80,80,42,tabpfn,107,0.4838876724243164,0.22888708114624023,0.18550244928125714,62333.94391603807,81906.20948905774,61.769204796456336,6708627152.865412,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,80,80,42,xgboost,107,14.588310718536377,0.007016181945800781,0.1728599939101173,62298.34898090332,82539.42704615371,66.89566919464586,6812757017.10733,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,100,100,42,tabpfn,107,0.4785952568054199,0.22739338874816895,0.1678691851935723,62146.62006039777,82544.7672424007,62.935570812345034,6813638599.102108,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,100,100,42,xgboost,107,27.11834192276001,0.006716251373291016,0.07486740787315849,63741.37481670512,87035.36110430937,77.3079260521332,7575154082.5575285,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,150,150,42,tabpfn,107,0.4627361297607422,0.40359950065612793,0.14927106039978555,63854.80829717675,85246.60313899224,66.68911152490048,7266983346.736841,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,150,150,42,xgboost,107,30.349637746810913,0.007178306579589844,0.15828871413437506,63722.64371969682,84793.59614409173,68.6837172338192,7189953947.047327,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,200,200,42,tabpfn,107,0.48628807067871094,0.5013289451599121,0.1675624121930016,62897.704317559736,84250.87447526144,63.59872378480856,7098209849.846261,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
48419,small,215,218,200,200,42,xgboost,107,41.23999071121216,0.006943702697753906,0.14842497801347132,63106.42532171685,85213.81980249772,62.609721249563854,7261395085.332553,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
