fips,size_bucket,county_train_pool_size,county_test_size,requested_train_size,actual_train_size,seed,model,n_features,fit_time,pred_time,r2,mae,rmse,mape,mse,status,experiment_name,experiment_description
2130,small,227,227,5,5,42,tabpfn,107,98.78892111778259,15.959479808807373,-0.5622734481652718,87737.82802700586,105356.23176549736,22.88909118633885,11099935571.825195,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,5,5,42,xgboost,107,80.92802095413208,0.0066606998443603516,-0.02723437488999414,76045.19397758684,85431.19379519609,21.901854512897355,7298488873.272351,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,10,10,42,tabpfn,107,0.4877028465270996,0.22602510452270508,-0.026394541171550268,75652.60459483128,92347.11360022989,21.26172229842934,8527989390.293765,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,10,10,42,xgboost,107,9.575670003890991,0.006757020950317383,-0.30864491292683294,94280.92642302511,104274.2487260498,26.01057494505928,10873118947.3821,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,20,20,42,tabpfn,107,0.48500537872314453,0.23658299446105957,-0.08214995915145984,81738.12140409394,106015.23300280915,25.283689754898862,11239229628.639914,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,20,20,42,xgboost,107,6.632331132888794,0.006417512893676758,-0.1300731872208285,89020.69939418205,108337.25660105704,28.632582309772282,11736961167.843279,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,30,30,42,tabpfn,107,0.4826540946960449,0.23678159713745117,0.09421187230768968,107143.95515742872,131823.73205000706,29.418185994967764,17377496331.592056,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,30,30,42,xgboost,107,11.665545463562012,0.0066525936126708984,0.032618997197355615,112635.63179289129,136231.97978281745,32.42371775303333,18559152315.54598,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,40,40,42,tabpfn,107,0.4979526996612549,0.2325880527496338,0.10034716368243146,104528.5101610625,129258.90992722285,28.962864721689,16707865795.57391,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,40,40,42,xgboost,107,11.959888219833374,0.006622314453125,0.10624530457355263,105895.25043914621,128834.50125502334,30.443090322256598,16598328713.63061,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,50,50,42,tabpfn,107,0.4975452423095703,0.2391338348388672,0.11950643161046981,99944.74515555029,124658.23413017225,28.430241493231385,15539675336.45284,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,50,50,42,xgboost,107,12.71986436843872,0.006669521331787109,0.03287213081642948,109911.71690114502,130647.11552924733,31.032259151730557,17068668796.112497,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,60,60,42,tabpfn,107,0.5739939212799072,0.2319018840789795,0.14263263498266676,100488.68493525694,123506.58446981091,28.953876338580564,15253876407.398537,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,60,60,42,xgboost,107,10.61277985572815,0.006384611129760742,0.05269999656243318,109558.35052171067,129822.63115166176,31.02626651030953,16853915559.140417,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,80,80,42,tabpfn,107,0.5795135498046875,0.2419722080230713,0.18489240059039314,99761.47972904723,126167.51848115452,28.75063341229514,15918242719.692467,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,80,80,42,xgboost,107,8.719093322753906,0.006382465362548828,0.1648273692397586,104129.72841572123,127710.97397933548,30.134252762880664,16310092874.750505,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,100,100,42,tabpfn,107,0.5994398593902588,0.23284530639648438,0.178691489479053,99432.15199990082,124452.6680891494,28.327793184322147,15488466594.507986,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,100,100,42,xgboost,107,22.70403265953064,0.006906032562255859,0.09870288652459247,107655.10592611227,130372.21382481206,30.9282849414385,16996914137.582518,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,150,150,42,tabpfn,107,0.48653411865234375,0.3959529399871826,0.13291476924082946,108821.30041764119,142044.30155516605,31.24717606138295,20176583604.29495,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,150,150,42,xgboost,107,19.3239164352417,0.006494998931884766,0.14818729607363423,109672.60286808171,140787.78544521338,31.228922087182237,19821200530.567436,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,200,200,42,tabpfn,107,0.7636897563934326,0.5135388374328613,0.14768982901239047,107617.18781256338,140637.26883063905,32.34170610003327,19778841384.14144,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
2130,small,227,227,200,200,42,xgboost,107,23.890099048614502,0.006378650665283203,0.08581376949307395,115254.05155981008,145652.82960543878,33.14165168903029,21214746772.070984,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
