seed,train_size,test_type,n_train,n_test,n_train_cbgs,n_test_cbgs,mae,mse,r2,mean_ratio,median_ratio,std_ratio,train_time,pred_time,status
0,25,full,25,39011,0,0,189098.54318253184,111703624266.23338,-0.04210044891321374,1.0116673610815012,0.8435415239726022,0.7309557812280223,18.56025195121765,16.539015531539917,success
0,50,full,50,39011,0,0,163863.9366558871,68747897068.98592,0.35864019750444043,0.9172070241978113,0.7698453663793107,0.5842228372096732,0.3799004554748535,10.800594806671143,success
0,75,full,75,39011,0,0,167210.16340823742,72102197766.74614,0.3273474056555865,0.877658049105747,0.7404747767857139,0.5677073084226244,0.39502525329589844,10.809424638748169,success
0,100,full,100,39011,0,0,164215.3390586149,72484863850.62071,0.3237774543634143,0.9066841624423043,0.7715133196721309,0.5759332730937156,0.41499996185302734,11.016013383865356,success
0,200,full,200,39011,0,0,152324.85801580804,63054937586.17749,0.41175070015509396,0.9763524737154415,0.8209526978417262,0.6409107028168968,0.3140401840209961,14.393741846084595,success
0,300,full,300,39011,0,0,146477.93287330013,57219243026.386894,0.4661928004936101,0.9837566004955539,0.8353273065476187,0.6381174681535629,0.35518884658813477,15.538576364517212,success
0,400,full,400,39011,0,0,144371.9364025531,55971790273.91974,0.4778304808453747,1.0081878629991903,0.8583565193965519,0.6460232583989733,0.33821892738342285,16.91136336326599,success
0,500,full,500,39011,0,0,138389.91452731282,51290381635.86367,0.5215040686569667,1.0468352041494398,0.8905202343749997,0.6683897731976584,0.3536241054534912,18.276844263076782,success
0,600,full,600,39011,0,0,138432.63019985548,50590333856.69583,0.5280349230470873,1.0266470527309424,0.8679707142857147,0.6660669435611642,0.3721780776977539,20.376259088516235,success
0,700,full,700,39011,0,0,134417.80388564282,48413434019.5331,0.548343559516568,1.0716715345245078,0.9046378499034755,0.6927573772931146,0.38286399841308594,21.70394778251648,success
0,800,full,800,39011,0,0,134094.03837118857,47844038913.57646,0.5536555348389816,1.0756560641852737,0.9058909269323667,0.7003640318247816,0.3926260471343994,23.197582006454468,success
0,900,full,900,39011,0,0,133662.21043944336,47467136877.00375,0.5571717124392052,1.075093298676641,0.9062374393203876,0.6954337485669962,0.4040107727050781,24.997678995132446,success
0,1000,full,1000,39011,0,0,133053.56345385755,46800782572.39997,0.5633882351753683,1.066625802872504,0.9022845670391063,0.6834559139162224,0.42202019691467285,26.051920890808105,success
0,2000,full,2000,39011,0,0,130818.31923527979,46113205058.61218,0.5698027525241798,1.0614003116703543,0.9013661309523814,0.6696016541232555,0.6195676326751709,28.755741834640503,success
0,3000,full,3000,39011,0,0,135740.32882952885,48839346126.75538,0.544370159360132,0.985016448091246,0.8408558593749995,0.6125600278648505,0.8578474521636963,42.038843870162964,success
0,4000,full,4000,39011,0,0,135174.9863914585,47841890234.08905,0.5536755802034279,0.9854970191354407,0.8372767187499998,0.6150728765024285,1.06730318069458,57.57513451576233,success
0,5000,full,5000,39011,0,0,136406.86078065322,48425392765.32851,0.5482319945208599,0.9816072614996422,0.8301791992187496,0.6237912109217781,1.2806637287139893,76.896644115448,success
0,6000,full,6000,39011,0,0,130920.69159219514,45017201879.233696,0.5800275363012796,1.0190867497012668,0.859863081831832,0.6505859110889068,1.5163652896881104,96.82345366477966,success
0,7000,full,7000,39011,0,0,128446.99117236164,43699136716.983284,0.5923239707840524,1.0469293360081364,0.8803943117977521,0.6739661836718772,1.72426176071167,119.83798050880432,success
0,8000,full,8000,39011,0,0,128838.3631696028,43946384510.01578,0.5900173577461634,1.0423410238586062,0.8779518678160921,0.6680223219639715,1.9694323539733887,145.01670098304749,success
0,9000,full,9000,39011,0,0,126910.96940746681,42541435216.4519,0.6031243477757232,1.0621156247749413,0.8924645833333327,0.6821627016008087,2.130369186401367,172.87124109268188,success
0,10000,full,10000,39011,0,0,125433.61307147343,41769341794.78583,0.61032732714731,1.0780448292113733,0.9067412731006164,0.6922780066524068,2.3287644386291504,202.9568305015564,success
100,25,full,25,39011,0,0,209112.63149115795,126639741898.39235,-0.18144180862054182,0.8238137163938142,0.6908502358490569,0.5879652654506223,0.35095715522766113,10.384642601013184,success
100,50,full,50,39011,0,0,180213.50148956385,94494714913.15309,0.11844413753108496,0.9216644965091244,0.777318385416667,0.643579826698363,0.3675069808959961,10.625982284545898,success
100,75,full,75,39011,0,0,159286.50436535527,70824104482.56131,0.3392709362836307,1.1147106629080066,0.9287214972527468,0.7769046871752529,0.3836674690246582,10.76483678817749,success
100,100,full,100,39011,0,0,151843.43887581388,61693437956.28829,0.4244523415281716,1.0143259130019877,0.8526320564516129,0.6858609759899087,0.39783573150634766,10.737192153930664,success
100,200,full,200,39011,0,0,150839.0986370431,62850187327.8272,0.41366084709565687,1.0442836157015754,0.8750660076530619,0.6983096542010205,0.29906249046325684,14.572310209274292,success
100,300,full,300,39011,0,0,147712.24115453815,59935502435.752625,0.4408523948580838,1.0301299952054888,0.8601184895833337,0.686747916248294,0.31602931022644043,15.652880191802979,success
100,400,full,400,39011,0,0,144798.99783514586,57691307209.68249,0.4617888404559688,1.0753179885945934,0.8919032824612398,0.731565491289746,0.33632564544677734,16.708558797836304,success
100,500,full,500,39011,0,0,139949.10106724707,53135689086.27069,0.5042889090318072,1.133703218009978,0.9358243206521747,0.7766707677675364,0.3522768020629883,17.99265694618225,success
100,600,full,600,39011,0,0,138236.21769240565,51986655261.14202,0.5150084239342885,1.1305066562195856,0.9373931953463208,0.7708345449620446,0.3611931800842285,19.460989236831665,success
