fips,filename,row_count,file_size_bytes,file_size_mb
5095,fips_5095.csv,514,437141,0.42
5097,fips_5097.csv,1056,892930,0.85
5099,fips_5099.csv,589,501257,0.48
5101,fips_5101.csv,608,275850,0.26
5103,fips_5103.csv,1258,1033336,0.99
5105,fips_5105.csv,837,716732,0.68
5107,fips_5107.csv,552,450725,0.43
5109,fips_5109.csv,980,835662,0.8
5111,fips_5111.csv,1496,1270423,1.21
5113,fips_5113.csv,1657,1428523,1.36
5115,fips_5115.csv,4224,3542608,3.38
5117,fips_5117.csv,425,364046,0.35
5119,fips_5119.csv,37423,31982357,30.5
5121,fips_5121.csv,1272,1101809,1.05
5123,fips_5123.csv,650,518357,0.49
5125,fips_5125.csv,11631,9874775,9.42
5127,fips_5127.csv,732,622344,0.59
5129,fips_5129.csv,832,678142,0.65
5131,fips_5131.csv,11324,9675043,9.23
5133,fips_5133.csv,947,815427,0.78
5135,fips_5135.csv,1867,1605325,1.53
5137,fips_5137.csv,1172,988175,0.94
5139,fips_5139.csv,2755,2224737,2.12
5141,fips_5141.csv,1497,1273611,1.21
5143,fips_5143.csv,13930,11979528,11.42
5145,fips_5145.csv,5273,4522137,4.31
5147,fips_5147.csv,403,346726,0.33
5149,fips_5149.csv,1784,1499169,1.43
6001,fips_6001.csv,66968,57111340,54.47
6003,fips_6003.csv,172,147468,0.14
6005,fips_6005.csv,4161,3506204,3.34
6007,fips_6007.csv,18112,15307683,14.6
6009,fips_6009.csv,6486,5264345,5.02
6011,fips_6011.csv,1075,887985,0.85
6013,fips_6013.csv,65580,55930242,53.34
6015,fips_6015.csv,2003,1631163,1.56
6017,fips_6017.csv,20306,17090771,16.3
6019,fips_6019.csv,53101,45710962,43.59
6021,fips_6021.csv,755,632477,0.6
6023,fips_6023.csv,8074,6595138,6.29
6025,fips_6025.csv,5628,4568061,4.36
6027,fips_6027.csv,931,784410,0.75
6029,fips_6029.csv,49239,40878766,38.99
6031,fips_6031.csv,7394,6275680,5.98
6033,fips_6033.csv,6037,4964982,4.73
6035,fips_6035.csv,2300,1938745,1.85
6037,fips_6037.csv,278429,241601971,230.41
6039,fips_6039.csv,8312,6673003,6.36
6041,fips_6041.csv,12948,11083877,10.57
6043,fips_6043.csv,2124,1725867,1.65
6045,fips_6045.csv,3455,2832011,2.7
6047,fips_6047.csv,12924,11026879,10.52
6049,fips_6049.csv,607,492333,0.47
6051,fips_6051.csv,1018,817841,0.78
6053,fips_6053.csv,14015,11890823,11.34
6055,fips_6055.csv,7728,6662978,6.35
6057,fips_6057.csv,10897,9088720,8.67
6059,fips_6059.csv,121689,102575445,97.82
6061,fips_6061.csv,43723,36702534,35.0
6063,fips_6063.csv,3482,2858644,2.73
6065,fips_6065.csv,171098,148913193,142.01
6067,fips_6067.csv,104822,91006850,86.79
6069,fips_6069.csv,3880,3032396,2.89
6071,fips_6071.csv,116149,102574169,97.82
6073,fips_6073.csv,124518,105695418,100.8
6075,fips_6075.csv,14321,12006640,11.45
6077,fips_6077.csv,40822,34020807,32.44
6079,fips_6079.csv,14895,12557223,11.98
6081,fips_6081.csv,27407,23806314,22.7
6083,fips_6083.csv,18213,15342596,14.63
6085,fips_6085.csv,59714,52039103,49.63
6087,fips_6087.csv,9664,8287982,7.9
6089,fips_6089.csv,18712,15878397,15.14
6091,fips_6091.csv,431,354339,0.34
6093,fips_6093.csv,3732,3114161,2.97
6095,fips_6095.csv,28726,24774156,23.63
6097,fips_6097.csv,27773,23955744,22.85
6099,fips_6099.csv,29672,25194898,24.03
6101,fips_6101.csv,6449,5527675,5.27
6103,fips_6103.csv,4584,3835420,3.66
6105,fips_6105.csv,1001,824447,0.79
6107,fips_6107.csv,23297,19490751,18.59
6109,fips_6109.csv,4298,3577011,3.41
6111,fips_6111.csv,36757,31849274,30.37
6113,fips_6113.csv,11081,9129015,8.71
6115,fips_6115.csv,5412,4567567,4.36
8001,fips_8001.csv,49205,43103067,41.11
8003,fips_8003.csv,764,654328,0.62
8005,fips_8005.csv,49963,44780518,42.71
8007,fips_8007.csv,1673,1415167,1.35
8009,fips_8009.csv,232,186756,0.18
8011,fips_8011.csv,114,81398,0.08
8013,fips_8013.csv,23405,20549542,19.6
8014,fips_8014.csv,6025,5233363,4.99
8015,fips_8015.csv,1917,1633289,1.56
8017,fips_8017.csv,109,96318,0.09
8019,fips_8019.csv,993,871031,0.83
8021,fips_8021.csv,367,321759,0.31
8023,fips_8023.csv,278,234833,0.22
8025,fips_8025.csv,206,154462,0.15
8027,fips_8027.csv,662,562148,0.54
8029,fips_8029.csv,3015,2558569,2.44
8031,fips_8031.csv,54777,47568270,45.36
8033,fips_8033.csv,60,53480,0.05
8035,fips_8035.csv,43221,37233925,35.51
8037,fips_8037.csv,4338,3718318,3.55
8039,fips_8039.csv,3745,3263078,3.11
8041,fips_8041.csv,60315,53638953,51.15
8043,fips_8043.csv,4565,3966212,3.78
8045,fips_8045.csv,5248,4510449,4.3
8047,fips_8047.csv,514,433216,0.41
8049,fips_8049.csv,1335,1132517,1.08
8051,fips_8051.csv,1396,1213530,1.16
8053,fips_8053.csv,202,135014,0.13
8055,fips_8055.csv,689,587457,0.56
8057,fips_8057.csv,207,167777,0.16
8059,fips_8059.csv,56594,49642200,47.34
8061,fips_8061.csv,71,59338,0.06
8063,fips_8063.csv,340,296511,0.28
8065,fips_8065.csv,567,484400,0.46
8067,fips_8067.csv,5374,4577364,4.37
8069,fips_8069.csv,33115,28983483,27.64
8071,fips_8071.csv,1516,1292685,1.23
8073,fips_8073.csv,488,413936,0.39
8075,fips_8075.csv,1273,1097621,1.05
8077,fips_8077.csv,17482,15092709,14.39
8079,fips_8079.csv,251,219395,0.21
8081,fips_8081.csv,1657,1419178,1.35
8083,fips_8083.csv,2302,1983626,1.89
8085,fips_8085.csv,4102,3522672,3.36
8087,fips_8087.csv,3211,2789204,2.66
8089,fips_8089.csv,1400,1209798,1.15
8091,fips_8091.csv,427,369014,0.35
8093,fips_8093.csv,3413,2952832,2.82
8095,fips_8095.csv,482,432652,0.41
8097,fips_8097.csv,789,686213,0.65
8099,fips_8099.csv,574,486092,0.46
8101,fips_8101.csv,18774,16139791,15.39
8103,fips_8103.csv,517,454771,0.43
8105,fips_8105.csv,967,838814,0.8
8107,fips_8107.csv,3267,2807363,2.68
8109,fips_8109.csv,531,459805,0.44
8111,fips_8111.csv,124,111304,0.11
8113,fips_8113.csv,785,683009,0.65
8115,fips_8115.csv,179,147839,0.14
8117,fips_8117.csv,1528,1275157,1.22
8119,fips_8119.csv,2334,2025157,1.93
8121,fips_8121.csv,519,427678,0.41
8123,fips_8123.csv,43815,37527965,35.79
8125,fips_8125.csv,679,599465,0.57
9001,fips_9001.csv,7244,2808384,2.68
9003,fips_9003.csv,14984,6067026,5.79
9005,fips_9005.csv,2678,1039916,0.99
9007,fips_9007.csv,1606,622457,0.59
9009,fips_9009.csv,7189,2793991,2.66
9011,fips_9011.csv,2483,949953,0.91
9013,fips_9013.csv,1469,571489,0.55
9015,fips_9015.csv,1088,419846,0.4
10001,fips_10001.csv,13497,11716560,11.17
10003,fips_10003.csv,30419,26405715,25.18
10005,fips_10005.csv,20819,17637799,16.82
11001,fips_11001.csv,21881,18689450,17.82
12001,fips_12001.csv,20311,17500488,16.69
12003,fips_12003.csv,1912,1656708,1.58
12005,fips_12005.csv,19380,16936248,16.15
12007,fips_12007.csv,1065,909189,0.87
12009,fips_12009.csv,58002,51215267,48.84
12011,fips_12011.csv,132492,114506217,109.2
12013,fips_12013.csv,438,386139,0.37
12015,fips_12015.csv,31874,27488690,26.22
12017,fips_12017.csv,19670,17361514,16.56
12019,fips_12019.csv,19174,16486821,15.72
12021,fips_12021.csv,33529,28066150,26.77
12023,fips_12023.csv,5026,4400780,4.2
12025,fips_12025.csv,1755,637453,0.61
12027,fips_12027.csv,2521,2174075,2.07
12029,fips_12029.csv,777,668201,0.64
12031,fips_12031.csv,90917,77775002,74.17
12033,fips_12033.csv,30512,26253084,25.04
12035,fips_12035.csv,19051,16265976,15.51
12037,fips_12037.csv,1438,1222158,1.17
12039,fips_12039.csv,2245,1939947,1.85
12041,fips_12041.csv,1277,1104379,1.05
12043,fips_12043.csv,656,561167,0.54
12045,fips_12045.csv,2406,2041481,1.95
12047,fips_12047.csv,275,236591,0.23
12049,fips_12049.csv,1018,885102,0.84
12051,fips_12051.csv,2302,1947358,1.86
12053,fips_12053.csv,31251,27503901,26.23
12055,fips_12055.csv,11443,9997695,9.53
12057,fips_12057.csv,152760,134319841,128.1
12059,fips_12059.csv,544,468238,0.45
12061,fips_12061.csv,14631,12608342,12.02
12063,fips_12063.csv,2220,1936630,1.85
12065,fips_12065.csv,520,453416,0.43
12067,fips_12067.csv,168,147657,0.14
12069,fips_12069.csv,43888,37262667,35.54
12071,fips_12071.csv,96521,83777966,79.9
12073,fips_12073.csv,22345,19156958,18.27
12075,fips_12075.csv,3229,2788679,2.66
12077,fips_12077.csv,215,184240,0.18
12079,fips_12079.csv,717,624400,0.6
12081,fips_12081.csv,37287,32106371,30.62
12083,fips_12083.csv,37800,33356237,31.81
12085,fips_12085.csv,18198,15671686,14.95
12086,fips_12086.csv,21966,19172313,18.28
12087,fips_12087.csv,12624,11017681,10.51
12089,fips_12089.csv,9659,8092042,7.72
12091,fips_12091.csv,28289,24812568,23.66
12093,fips_12093.csv,4782,4081963,3.89
12095,fips_12095.csv,95649,83465731,79.6
12097,fips_12097.csv,41789,36560888,34.87
12099,fips_12099.csv,118183,101704933,96.99
12101,fips_12101.csv,95024,82028392,78.23
12103,fips_12103.csv,94937,83794586,79.91
12105,fips_12105.csv,93802,81578477,77.8
12107,fips_12107.csv,8713,7449408,7.1
12109,fips_12109.csv,37273,31545607,30.08
12111,fips_12111.csv,37492,32955963,31.43
12113,fips_12113.csv,21691,18967018,18.09
12115,fips_12115.csv,58191,50397905,48.06
12117,fips_12117.csv,43959,38638150,36.85
12119,fips_12119.csv,19949,15921393,15.18
12121,fips_12121.csv,1948,1685687,1.61
12123,fips_12123.csv,1269,1077094,1.03
12125,fips_12125.csv,401,350508,0.33
12127,fips_12127.csv,70087,61391710,58.55
12129,fips_12129.csv,1820,1570862,1.5
12131,fips_12131.csv,11301,9676090,9.23
12133,fips_12133.csv,1542,1328686,1.27
13001,fips_13001.csv,612,523159,0.5
13003,fips_13003.csv,228,194722,0.19
