fips,size_bucket,county_train_pool_size,county_test_size,requested_train_size,actual_train_size,seed,model,n_features,fit_time,pred_time,r2,mae,rmse,mape,mse,status,experiment_name,experiment_description
27077,small,126,127,5,5,42,tabpfn,107,88.53613877296448,10.861355304718018,-1.2660530077094094,67738.43066013024,78150.40299427022,44.39097696355487,6107485488.166841,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,5,5,42,xgboost,107,14.319492816925049,0.006978034973144531,-1.7242307829858765,74429.54907794522,85687.63128376288,48.58359249115066,7342370155.022099,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,10,10,42,tabpfn,107,0.3982372283935547,0.22369813919067383,-0.1825367846975352,44057.19129096764,58656.176266776165,36.77497466879874,3440547014.239115,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,10,10,42,xgboost,107,6.8258843421936035,0.007191896438598633,-1.3697983276414951,71906.2618678946,83035.17650822614,47.43311179467115,6894840537.75227,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,20,20,42,tabpfn,107,0.3934593200683594,0.2321944236755371,0.11729719521789594,67613.9774851339,95262.563337751,47.68578629587946,9074955973.67902,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,20,20,42,xgboost,107,8.642106294631958,0.00701451301574707,0.09212212234474759,72205.95803391427,96611.47817978109,44.985387661905634,9333777716.082317,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,30,30,42,tabpfn,107,0.42124247550964355,0.22674322128295898,0.1800076328143725,65323.831719264184,93123.0280912929,48.541818017355034,8671898360.891726,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,30,30,42,xgboost,107,11.865584373474121,0.006960630416870117,0.16825536273746944,68238.9437174976,93787.98154977521,44.380337014271525,8796185483.180975,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,40,40,42,tabpfn,107,0.41295838356018066,0.22519707679748535,0.19672287143943934,61715.42574237085,91616.49303198169,46.47432200956653,8393581795.47915,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,40,40,42,xgboost,107,11.614968299865723,0.006844997406005859,0.16096100992005435,68478.98547416218,93633.6674401504,44.58316988433067,8767263678.29268,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,50,50,42,tabpfn,107,0.4127542972564697,0.22481799125671387,0.15968213255618968,63134.17834511008,93152.27739542724,47.763510917913585,8677346783.954624,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,50,50,42,xgboost,107,11.742161512374878,0.0068073272705078125,0.17079156795388462,68052.59259215732,92534.46809829392,45.515874122814104,8562627786.234175,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,60,60,42,tabpfn,107,0.4192826747894287,0.2354445457458496,0.17561825193392655,61328.44791495655,91296.86631687952,46.06146075285806,8335117799.282169,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,60,60,42,xgboost,107,10.019394874572754,0.006789207458496094,0.21788392372672893,63950.86499172821,88925.7002005108,44.91238497622121,7907780156.151125,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,80,80,42,tabpfn,107,0.47304749488830566,0.24174857139587402,0.1223889638200748,62857.564091416076,92045.12085471097,46.325898153713254,8472304273.158349,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,80,80,42,xgboost,107,14.31279444694519,0.007040262222290039,0.10912464347685624,67780.79299151449,92738.10281797287,46.05476405481523,8600355714.276909,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,100,100,42,tabpfn,107,0.45087575912475586,0.2228379249572754,0.10890080119011669,61900.91540596114,90239.87393875555,45.64915041315558,8143234848.482494,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
27077,small,126,127,100,100,42,xgboost,107,17.337610721588135,0.006993770599365234,0.19110719465565107,61965.86376349067,85976.7332325925,46.353889052320774,7391998657.348373,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
