fips,size_bucket,county_train_pool_size,county_test_size,requested_train_size,actual_train_size,seed,model,n_features,fit_time,pred_time,r2,mae,rmse,mape,mse,status,experiment_name,experiment_description
38011,small,135,136,5,5,42,tabpfn,107,69.63067507743835,11.29980731010437,0.23150249196701267,56208.61849551677,67046.3266240687,55.48207624954124,4495209913.781302,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,5,5,42,xgboost,107,14.199374914169312,0.0073392391204833984,-0.02871914957049504,67500.37642290647,77571.49630653032,70.91122286372016,6017337039.234047,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,10,10,42,tabpfn,107,0.4163801670074463,0.22384047508239746,0.4268881018004381,47326.951481843054,69518.12573261038,56.572602262926544,4832769805.375025,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,10,10,42,xgboost,107,14.380486726760864,0.0072784423828125,0.2000979557455138,61048.54482972907,82129.03984314657,51.25470330023004,6745179185.5571575,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,20,20,42,tabpfn,107,0.4441366195678711,0.22661638259887695,0.3463209102883069,57313.716844905386,74167.3986245391,69.07517424169588,5500803018.731285,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,20,20,42,xgboost,107,9.383955717086792,0.00691676139831543,0.33194575680788063,54973.60755607266,74978.47685152949,81.74316057315724,5621771990.975344,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,30,30,42,tabpfn,107,0.44370245933532715,0.22768831253051758,0.3349175196545102,53237.31382516423,96954.15273843097,110.27805371723449,9400107733.227001,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,30,30,42,xgboost,107,11.628446102142334,0.006750583648681641,0.16528881112914862,66521.25148313759,108616.74382918321,96.19991271564103,11797597040.054407,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,40,40,42,tabpfn,107,0.44914865493774414,0.21914434432983398,0.1522558034907462,70202.0223054644,103852.84921497873,136.32609864000787,10785414290.069109,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,40,40,42,xgboost,107,11.751867055892944,0.006795406341552734,0.10457039881315122,67162.38787014729,106733.73983080014,84.29447308994553,11392091218.268932,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,50,50,42,tabpfn,107,0.4703710079193115,0.2201986312866211,0.03409547360464371,73082.19560876067,105990.66541597084,86.58329317933156,11234021155.320278,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,50,50,42,xgboost,107,11.063304901123047,0.00707244873046875,0.05295847528733599,67529.87969079192,104950.62494016367,76.17148762993926,11014633675.330904,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,60,60,42,tabpfn,107,0.4474000930786133,0.2216930389404297,-0.0256814392997724,69220.6284632563,105205.80396114281,76.16123555558643,11068261187.110413,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,60,60,42,xgboost,107,18.20833992958069,0.006885528564453125,-0.09218043522614261,72923.45917327469,108562.70289801365,78.33038150541736,11785860460.52238,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,80,80,42,tabpfn,107,0.4570000171661377,0.22282838821411133,-0.031620418374400217,65538.2847520641,99777.81293771366,68.41696687774693,9955611954.633379,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,80,80,42,xgboost,107,13.38207745552063,0.006848573684692383,0.007840990963406402,66155.54358421023,97850.86196885703,76.52458816086725,9574791188.048311,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,100,100,42,tabpfn,107,0.4504823684692383,0.21605610847473145,-0.05294809927693711,66347.20113003293,96604.18970243828,69.56110516060112,9332369468.064682,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
38011,small,135,136,100,100,42,xgboost,107,29.63558530807495,0.007161617279052734,-0.1119911377492302,68230.02822102558,99275.74220692064,66.29229394491543,9855672990.734962,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
