fips,size_bucket,county_train_pool_size,county_test_size,requested_train_size,actual_train_size,seed,model,n_features,fit_time,pred_time,r2,mae,rmse,mape,mse,status,experiment_name,experiment_description
40003,small,101,101,5,5,42,tabpfn,107,34.27020239830017,9.790198564529419,0.3293254932872991,13272.605928219276,16612.399177108593,20.595693724159624,275971806.4195983,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,5,5,42,xgboost,107,108.93363785743713,0.007447957992553711,-0.2835446385055669,20811.472032798487,22981.689218848427,31.64809727760984,528158039.3517341,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,10,10,42,tabpfn,107,0.5905942916870117,0.24151897430419922,0.5355396949112651,20004.60493764781,27889.636256198206,24.347734050450068,777831810.5030454,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,10,10,42,xgboost,107,35.76979613304138,0.007293701171875,0.1095687073431253,31429.770053232158,38616.13069112436,39.961511920049766,1491205549.5539968,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,20,20,42,tabpfn,107,0.6023204326629639,0.26919984817504883,0.436203258434835,30751.277627756514,40991.07483523312,37.89928109586885,1680268216.1476822,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,20,20,42,xgboost,107,11.775559186935425,0.007128238677978516,-0.1457901321896784,44128.658458124715,58436.01128151068,49.03888099992057,3414767414.4928427,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,30,30,42,tabpfn,107,0.6217408180236816,0.23070836067199707,0.4542809997812566,29829.457401969696,39419.5211974598,35.04498601098256,1553898651.4369826,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,30,30,42,xgboost,107,18.960907459259033,0.006867885589599609,0.0869308330816091,38048.88488495237,50989.252612562734,40.77061470710782,2599903881.9877353,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,40,40,42,tabpfn,107,0.6452407836914062,0.2550954818725586,0.49771168364970964,29799.474144645214,39350.37768317036,34.7137936606185,1548452223.808152,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,40,40,42,xgboost,107,22.921977519989014,0.007122516632080078,0.39605696353183295,32673.817923652026,43148.962330308,37.190382828044484,1861832950.182339,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,50,50,42,tabpfn,107,0.6171526908874512,0.24269390106201172,0.5277269132386273,29087.479733805834,37919.9459653632,35.20619138642556,1437922302.0160646,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,50,50,42,xgboost,107,19.15570592880249,0.007034778594970703,0.44343927322852783,30889.076229783557,41164.93081942801,35.80141159905731,1694551529.3682942,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,60,60,42,tabpfn,107,0.7030551433563232,0.2472538948059082,0.5202977647939164,29007.457464472223,37983.59884462069,35.230254889273105,1442753781.18907,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,60,60,42,xgboost,107,22.660502910614014,0.0071523189544677734,0.394608210572462,31705.530822686953,42670.57575420618,35.70724637026593,1820778035.1954482,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,80,80,42,tabpfn,107,0.7118091583251953,0.2252655029296875,0.5755512132947453,32550.918133121904,49776.78792812254,37.87058393203754,2477728616.441286,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,80,80,42,xgboost,107,19.544126749038696,0.0069255828857421875,0.3828177301604295,35922.42709622524,60023.44817700475,37.448402320411574,3602814331.0575747,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,100,100,42,tabpfn,107,0.852846622467041,0.22391438484191895,0.5436755056631852,33526.1121983292,51612.050166781664,35.95807286652987,2663803722.4183874,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
40003,small,101,101,100,100,42,xgboost,107,42.01242256164551,0.006726503372192383,0.47539742732482804,35626.2387163521,55338.76059491251,35.33732230472785,3062378424.181042,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
