fips,n_rows,n_features,target_mean,target_std,target_min,target_max,null_fraction
1001,5238,120,12.059936853092662,0.7109425433056569,8.63497622707262,16.0761243504055,0.040430507827415044
1003,25907,120,12.509744237261767,0.7309336599071579,8.699514748210191,16.454567887579532,0.028476216209261333
1005,604,120,11.505709781795165,1.0449767675896195,8.612503371220562,13.815509557963773,0.02788355408388521
1007,635,120,11.745998809869391,0.7701281835316812,8.748304912379623,14.557447902693651,0.042440944881889764
1009,3476,120,11.970277269701421,0.7605363404857552,8.699514748210191,16.0978929436408,0.03624376678174147
1011,86,120,11.008121180671758,1.2920790484253857,8.699514748210191,13.815510557964274,0.03827519379844961
1013,497,120,11.027379024392689,1.0527484245956875,8.612503371220562,14.469283653610091,0.03175720992622401
1015,8473,120,11.683517662733816,0.8343682618005914,8.536995818712418,15.48820492003339,0.027859081789212793
1017,2430,120,11.592233934276576,0.7124328214390159,8.612503371220562,15.030423302328545,0.030476680384087792
1019,2294,120,11.998882583638235,0.7808557532356506,8.612503371220562,14.969242145853464,0.03411072362685266
1021,2306,120,11.8660875825173,0.7474692013205442,8.66561319653451,15.068273526459642,0.029354582249204973
1025,299,120,11.11572472358054,1.0172893197617299,8.630521876723241,13.38472764187182,0.040022296544035676
1027,917,120,11.526495809360428,0.8452697980203652,8.699514748210191,14.690979295318174,0.02800799709196656
1029,281,120,11.517928931385045,1.0545829138149163,8.699514748210191,15.341314655745093,0.03499406880189798
1031,5493,120,11.938269835707255,0.7539993952265049,8.699514748210191,15.751370371166086,0.02262121487954366
1035,614,120,11.018014603456797,1.0919588711775832,8.536995818712418,16.28462652184595,0.030523887079261673
1037,452,120,11.843781126509551,1.0928007113920821,8.556413904569519,15.883259001053064,0.037002212389380534
1039,3236,120,11.652572482334815,0.7765936969369027,8.571681376700306,14.545471711646936,0.02586784095591265
1041,17,120,11.383524686040037,1.0324723220719587,9.903487552536127,13.527695143289481,0.031862745098039214
1043,9017,120,11.99918210562787,0.8092504921796264,8.779557455883728,17.07840326824925,0.0349626631178145
1045,3805,120,11.709568859836441,0.7144015328510225,8.612503371220562,14.950694862775027,0.027634691195795008
1047,1492,120,11.45237840427536,0.8851046472474583,8.66561319653451,15.308414654142423,0.028155719392314565
1049,4062,120,11.709676469173983,0.8201541140440658,8.612503371220562,15.631393372089534,0.029435417692433942
1051,9081,120,12.177230768963533,0.7598398391314302,8.935903526274423,15.996436362330991,0.030234372132290865
1053,749,120,11.536218864620981,0.8460369696753528,8.699514748210191,14.508657738524219,0.022385402759234535
1057,803,120,11.602745676842877,0.7912702109988089,8.612503371220562,15.341566861459324,0.029960564549605644
1059,2040,120,11.617001651162871,0.7307462194263151,8.556413904569519,14.147687870302606,0.02733251633986928
1061,2594,120,11.62758602067768,0.8438571169097725,8.85366542803745,15.26007382720814,0.028308918015934208
1065,74,120,11.683756480519786,1.1508182544354264,8.987196820661973,16.25785759333348,0.04470720720720721
1067,665,120,11.469970195562352,0.9604795399880265,8.79300509129753,14.661378825541883,0.026867167919799498
1069,9825,120,11.982042112119492,0.7677386690694117,8.612503371220562,16.176732415942965,0.022219677692960137
