fips,size_bucket,county_train_pool_size,county_test_size,requested_train_size,actual_train_size,seed,model,n_features,fit_time,pred_time,r2,mae,rmse,mape,mse,status,experiment_name,experiment_description
5077,small,157,157,5,5,42,tabpfn,107,99.85705399513245,12.170961618423462,-0.3330256315384832,35406.21608773832,45890.18939699869,56.81721303111522,2105909482.892411,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,5,5,42,xgboost,107,8.078526496887207,0.006790876388549805,-0.10629804101361828,39232.21700849868,41805.81281860063,93.60794340127555,1747725985.423873,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,10,10,42,tabpfn,107,0.5028314590454102,0.22554588317871094,-0.13567219788075446,39207.26832395084,47232.32157807105,118.87974927491997,2230892201.6543164,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,10,10,42,xgboost,107,6.946711301803589,0.0066378116607666016,0.10022364896732261,36880.3830358338,42041.681991069614,124.29126410343665,1767503024.6382272,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,20,20,42,tabpfn,107,0.49927616119384766,0.22821664810180664,-0.6936792068194799,72506.02562798331,104094.1019924423,256.44454507297405,10835582069.612982,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,20,20,42,xgboost,107,7.787300109863281,0.007187843322753906,0.1505745086937731,51715.172510447475,73717.93990512242,142.3384210119533,5434334663.855241,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,30,30,42,tabpfn,107,0.5287272930145264,0.23206114768981934,0.4606166498367813,42042.665282468995,58592.621882515756,116.2272088502817,3433095339.0674644,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,30,30,42,xgboost,107,11.125197172164917,0.006505489349365234,0.39010231084787883,42275.2202871963,62304.96520693083,104.86614061176911,3881908689.4368615,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,40,40,42,tabpfn,107,0.5624921321868896,0.22455120086669922,0.323311948618075,45826.10183736496,65302.023918941755,144.38553409937018,4264354327.9100413,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,40,40,42,xgboost,107,13.894043922424316,0.006864070892333984,0.17473769052557409,51072.03442345174,72115.4624981801,173.24446758556098,5200639931.326421,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,50,50,42,tabpfn,107,0.5931200981140137,0.22673559188842773,0.49434028630672167,37857.973852586794,56125.86385697576,95.39000292487351,3150112593.6917777,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,50,50,42,xgboost,107,11.894787073135376,0.006392240524291992,0.39178705170082373,44450.641572531065,61554.76704847771,108.83412565952678,3788989346.3923573,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,60,60,42,tabpfn,107,0.5615980625152588,0.2384960651397705,0.4829628633018811,36624.33157335963,56413.450273813956,87.68714712219786,3182477371.7960796,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,60,60,42,xgboost,107,13.525099515914917,0.006735801696777344,0.45111225643214936,38548.509743144656,58125.079502082706,95.0820367636761,3378524867.1234355,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,80,80,42,tabpfn,107,0.5718240737915039,0.23447823524475098,0.5643851055216762,36740.82065504367,55671.54457563756,87.1957579607831,3099320875.4372,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,80,80,42,xgboost,107,17.92956042289734,0.007040739059448242,0.5682272211599176,35455.25836341848,55425.489806774945,71.73335747206568,3071984920.3209133,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,100,100,42,tabpfn,107,0.5969743728637695,0.23140501976013184,0.570968056939783,35947.4948842962,53568.0261646883,80.24508997182289,2869533427.1807303,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,100,100,42,xgboost,107,34.333879232406616,0.0071904659271240234,0.5538909166416373,36079.531919029476,54623.731292075,74.40651745363573,2983752020.268813,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,150,150,42,tabpfn,107,0.5086095333099365,0.3768796920776367,0.7898012986943479,32304.84682321567,50397.17218287243,80.28432368550338,2539874964.030091,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
5077,small,157,157,150,150,42,xgboost,107,22.248288869857788,0.006901979446411133,0.5806067298952216,38817.25148396905,71187.19536914483,76.82483841476022,5067616784.524795,success,per_county_scaling_tiny_small,Per-county learning curves for tiny and small counties
